PINNER-NEW-CEMETERY,,,,,,,,,,
Grid ref,TQ130893,Long,-0.3701914,Lat,51.591228,Elevation,200,ft.,,
Station no,864/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.49,2.23
February,,,,,,,,,0.11,1.76
March,,,,,,,,,2.04,1.69
April,,,,,,,,,2.47,0.6
May,,,,,,,,,0.57,2.18
June,,,,,,,,,1.08,1.57
July,,,,,,,,,3.53,3.23
August,,,,,,,,,1.95,2.96
September,,,,,,,,,0.03,4.4
October,,,,,,,,,2.15,6.01
November,,,,,,,,,2.27,4.08
December,,,,,,,,,3.52,2.97
Total,,,,,,,,,22.21,33.68
,,,,,,,,,,
MIDAS src_id 5635 PINNER CEMETERY Start 1959 end 3003,,,,,,,,,,
NGR s from the 1950s record and is a cemetery in Pinner. Altitude is from OS map,,,,,,,,,,
