PIERCEBRIDGE CARLBURY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ215158,Long,-1.6692343,Lat,54.537017,Elevation,222,ft,,,,,,,,,,,,,,,,,,
Station no,3508,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.83,2.78,2.5,2.45,3.13,3.88,3.43,0.82,,,,,,,3.19,1.82,1.64,1.47,1.43,1.81,3.15,,,,
February,,2.89,0.87,1.59,1.72,0.63,0.09,-999,4.4,,,,,,,1.16,1.13,0.55,3.56,0.25,2.63,2.91,,,,
March,,4,2.24,1,2.44,2.64,0.91,-999,1.33,,,,,,,2.61,0.9,1.69,1.88,1.82,0.53,2.03,,,,
April,,1.08,1.56,1.27,1.37,3.21,0.75,2.73,2.3,,,,,,,2.9,2.7,1.56,1.26,3.29,1.64,0.93,,,,
May,1.78,3.76,1.33,1.76,1.04,3.09,1.15,1.86,2.23,,,,,,,1.11,2.63,3.45,2.05,1.17,0.65,2.02,,,,
June,0.21,1.25,1.82,0.48,0.88,0.84,0.46,1.2,0.73,,,,,,,1.16,3.51,1.62,1.93,2.12,2.97,3.88,,,,
July,3.57,2.34,0.96,4.22,1.79,4.26,1.76,3.52,2.33,,,,,,3.32,4.57,3.3,2.83,2.2,1.22,0.71,4.34,,,,
August,4.6,2.08,6.23,2.86,2.57,1.13,-999,-999,3.26,,,,,,2.37,4.28,3.17,1.92,0.42,2.08,2.78,1.97,,,,
September,0.66,1.47,0.83,5.14,0.63,0.89,-999,-999,1.91,,,,,,1,3.4,2.59,2.26,1,1.61,6.14,3.64,,,,
October,1.08,3.01,2,1.61,4.33,1.89,1.35,1.8,1.87,,,,,,2.31,1.97,0.75,3.12,2.76,2.81,3.62,1.35,,,,
November,1.64,2.38,0.76,1.23,3.08,1,2.31,0.69,3.29,,,,,,2.47,2.76,2.44,0.93,3.1,1.74,4.39,2.71,,,,
December,5.89,2.42,2.01,3.32,2.56,2.8,1.87,3.45,2.56,,,,,,4.07,2.3,1.08,0.8,1.15,4.99,1.48,1.91,,,,
Total,,27.51,23.39,26.98,24.86,25.51,18.87,27.26,27.03,,,,,,,31.41,26.02,22.37,22.78,24.53,29.35,30.84,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Jan-Apr bracketed but estimated therefore removed.,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 May 1.78,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Aug/Sept bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Feb/March 3.38 bracketed; Aug/Sept 5.20 bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,
