PIERCEBRIDGE CARLBURY HALL,,,,,,,,,
Grid ref,NZ215158,Long,-1.6692343,Lat,54.537017,Elevation,235,ft,
Station no,3508,,,,,,,,
,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,,1.44,3.1,3.86,1.44,2.12,0.84,3.01,
February,,1.17,1.62,0.78,1.55,3.13,2.79,0.86,
March,,2.02,-999,3.15,-999,0.94,4,2.31,
April,,1.39,-999,3.76,-999,0.8,1.04,1.54,
May,,1.36,2.26,2.55,1.26,1.79,3.74,1.32,
June,,3.48,5.55,1.09,3.78,0.2,1.23,1.78,
July,,0.42,2.74,0.67,2.76,3.74,2.37,0.93,
August,,-999,-999,-999,1.75,4.7,2.17,6.1,
September,,-999,-999,-999,1.56,0.65,1.47,0.81,
October,,-999,2.21,-999,1.87,1.13,3.04,1.96,
November,,3.91,1.72,-999,2.83,1.67,2.44,-999,
December,,4.38,1.38,1.27,4.25,5.96,2.48,-999,
Total,,26.12,30.41,25.14,25.3,26.83,27.61,23.45,
,,,,,,,,,
1911 Aug/Sept/Oct bracketed,,,,,,,,,
1912 Mar/Apr bracketed 2.21; Aug/Sept bracketed 7.62,,,,,,,,,
1913 Aug/Sept bracketed 4.23; Oct/Nov bracketed 3.78,,,,,,,,,
1914 Mar/Apr bracketed,,,,,,,,,
1917 Nov/Dec bracketed,,,,,,,,,
