"WEXHAM BROUGHTON",,,,,,,,,,,,
Grid ref,SJ305522,Long,-3.038542,Lat,53.062506,,,,,,,
Station no,RR4757,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,3.08,1.74,3.58,3.65,1.24,4.38,1.16,1.87,2.04,,
February,5.40,1.77,2.05,2.71,5.03,1.51,2.59,1.66,2.02,1.14,,
March,1.61,3.37,1.89,5.54,1.81,3.64,2.10,1.88,3.94,3.48,,
April,1.10,2.82,2.73,1.85,1.07,3.00,1.04,1.93,3.78,2.20,,
May,1.86,1.48,3.55,3.74,1.98,0.74,2.83,2.19,3.76,1.07,,
June,1.56,2.58,2.05,1.52,1.09,2.29,0.76,3.56,2.50,4.43,,
July,1.52,3.79,1.40,3.10,2.26,2.23,1.19,2.12,3.15,2.55,,
August,7.18,2.23,3.37,5.30,5.54,5.19,2.75,2.48,4.63,2.62,,
September,0.62,1.06,1.73,4.95,1.86,1.37,1.09,0.69,3.85,3.51,,
October,5.04,3.48,4.43,10.10,0.73,2.27,5.82,7.30,2.52,4.33,,
November,3.61,3.67,2.34,2.83,2.08,3.89,2.62,2.62,2.85,0.84,,
December,3.39,5.49,3.30,2.58,2.88,0.64,4.57,2.78,2.52,5.68,,
Total,36.36,34.82,30.58,47.80,29.98,28.01,31.74,30.37,37.39,33.89,,
Calc annual,36.36,34.82,30.58,47.80,29.98,28.01,31.74,30.37,37.39,33.89,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
