WREXHAM-BROUGHTON-COED-EFA,,,,,,,,,,
Grid ref,SJ308519,Long,-3.0340019,Lat,53.059848,Elevation,450,ft.,,
Station no,RR4757,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,2.37,3.76,1.91,,,,,,
February,,0.08,2.16,3.65,,,,,,
March,,1.26,2.96,,,,,,,
April,,1.93,1.14,,,,,,,
May,,4.61,2.74,,,,,,,
June,,6.13,3.13,,,,,,,
July,,2.35,3.88,,,,,,,
August,,4.33,2.96,,,,,,,
September,,4.03,3.17,,,,,,,
October,,6.24,6.64,,,,,,,
November,,2.49,1.84,,,,,,,
December,,5.47,2.28,,,,,,,
Total,,41.29,36.66,,,,,,,
,,,,,,,,,,
NGR is Coed Efa. Altitudes match. Gauge moved 600 yards W (actually WNW) on 15 Mar 1893 to Broughton Colliery,,,,,,,,,,
Gauge moved 600 yards W (actually WNW) on 15 Mar 1893 to Broughton Colliery,,,,,,,,,,
