SKIPTON TOWN HALL - check gauge,,,,,,,,,,
Grid ref,SD991518,Long,-2.015205,Lat,53.962282,Elevation,367,ft,,
Station no,3306,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,4.25,2.84,,,,,
February,,,,1.57,3.11,,,,,
March,,,,5.3,4.1,,,,,
April,,,,3.3,0.99,,,,,
May,,,,2.67,1.65,,,,,
June,,,,1.72,2.22,,,,,
July,,,,0.84,3.1,,,,,
August,,,,1.51,2.31,,,,,
September,,,,1.57,1.74,,,,,
October,,,,1.63,2.15,,,,,
November,,,,3.68,4.96,,,,,
December,,,,2.13,7.11,,,,,
Total,,,,30.17,36.28,,,,,
