"BANFF",,,,,,,,,,,,
Grid ref,NJ684638,Long,-2.531286,Lat,57.662973,,,,,,,
Station no,5667,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.70,2.34,2.17,1.59,1.76,4.68,2.24,3.82,4.52,,,
February,3.28,1.61,1.92,2.25,2.14,1.50,1.61,2.96,0.38,,,
March,3.24,2.51,0.32,1.58,1.46,0.97,2.89,2.47,2.07,,,
April,2.30,1.90,2.16,0.85,1.05,1.57,1.21,1.24,1.81,,,
May,0.68,1.35,1.55,4.35,3.07,0.66,1.20,2.53,0.86,,,
June,1.71,2.33,4.33,2.71,0.94,3.32,2.36,,1.11,,,
July,3.15,1.57,3.95,2.44,0.40,3.60,4.17,,2.02,,,
August,4.23,2.83,2.58,2.44,0.60,2.90,4.62,,1.76,,,
September,0.75,2.77,1.86,2.43,1.87,2.07,2.29,,,,,
October,1.06,2.21,1.10,5.54,4.75,3.70,1.86,1.91,,,,
November,5.81,3.52,1.82,4.61,1.06,2.14,2.03,1.21,,,,
December,2.23,3.64,2.89,5.12,4.66,3.91,4.31,2.24,,,,
Total,31.14,28.58,26.65,35.91,23.76,31.02,30.79,,,,,
Calc annual,31.14,28.58,26.65,35.91,23.76,31.02,30.79,18.38,14.53,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
