BURYTHORPE RECTORY,,,,,,,,,,,,,,
Grid ref,SE792649,Long,-0.791,Lat,54.074,Elevation,240,ft,,,,,,
Station no,RR4289,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,3.62,0.58,4.42,1.87,2.65,4.31,2.32,2.50,1.30,3.06,1.45,2.81,2.00,5.11
February,4.59,3.37,0.67,2.48,1.60,0.84,0.21,2.46,4.20,1.35,3.84,1.72,1.53,1.92
March,1.41,3.17,1.91,1.45,3.38,2.09,1.05,2.17,1.44,0.77,1.76,0.57,1.93,2.58
April,0.95,1.99,1.94,1.40,1.80,3.63,1.50,1.83,1.22,1.72,1.96,1.65,2.58,1.03
May,1.35,3.02,1.56,1.90,1.01,2.38,1.32,0.75,2.94,3.45,3.49,2.16,1.32,1.57
June,0.42,2.01,2.43,0.96,0.90,0.66,0.21,1.79,0.61,1.96,0.35,4.06,3.59,4.18
July,5.14,2.38,1.53,3.61,3.33,5.34,1.85,4.56,4.17,3.41,2.08,3.05,3.13,1.20
August,2.95,2.49,7.64,2.01,2.34,1.57,4.22,3.43,3.08,2.79,3.56,2.38,5.65,4.76
September,1.69,1.16,0.93,5.27,1.13,1.27,0.74,1.89,1.91,3.27,2.19,1.29,5.17,
October,0.88,3.03,3.25,1.33,4.55,1.12,1.95,0.85,1.75,3.35,1.85,2.99,2.11,
November,1.89,3.44,2.27,1.52,2.32,0.64,1.99,1.14,3.50,1.52,3.08,3.74,4.15,
December,4.25,2.93,1.85,4.10,4.32,3.03,1.66,2.64,2.91,2.71,3.40,0.91,2.28,
Total,29.14,29.57,30.40,27.90,29.33,26.88,19.02,26.01,29.03,29.36,29.01,27.33,35.44,
,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/183,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/106,,,,,,,,,,,,,,
