"BURTON PIDSEA (THE NURSERIES)",,,,,,,,,,,,
Grid ref,TA246314,Long,-0.111253,Lat,53.764056,,,,,,,
Station no,3394/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.96,1.60,1.27,1.77,1.46,5.30,1.24,2.20,2.40,4.45,,
February,2.35,0.71,1.66,2.21,2.46,2.23,2.19,4.79,0.29,2.03,,
March,2.78,2.34,0.45,1.82,2.37,0.79,1.46,2.15,1.43,1.12,,
April,1.15,1.42,1.97,0.22,0.73,0.82,0.57,0.72,1.60,1.24,,
May,3.31,1.77,1.90,2.35,3.56,0.81,0.98,1.68,0.36,1.09,,
June,1.39,2.16,2.96,1.78,1.93,2.80,2.56,3.32,0.95,0.24,,
July,2.03,1.33,1.58,2.02,0.56,3.86,2.66,3.17,2.02,2.12,,
August,4.94,1.90,1.93,5.44,0.69,4.41,4.03,1.75,0.24,2.45,,
September,0.86,3.69,0.90,1.88,1.14,1.33,2.77,2.07,0.04,2.34,,
October,1.04,2.97,1.88,3.88,1.12,1.03,1.14,1.55,1.44,6.40,,
November,3.40,3.24,1.45,3.79,1.07,1.48,2.10,0.61,3.17,4.30,,
December,1.44,1.56,1.22,2.05,2.57,1.35,2.15,2.75,4.31,3.91,,
Total,26.65,24.69,19.17,29.21,19.66,26.21,23.85,26.76,18.25,31.69,,
Calc annual,26.65,24.69,19.17,29.21,19.66,26.21,23.85,26.76,18.25,31.69,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
