ROMSEY-MICHELMERSH-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU346266,Long,-1.50715,Lat,51.03835,Elevation,273,ft,,,,,,,,,,,,
Station no,RR6847,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.16,1.24,6.12,1.42,3.39,0.5,1.48,1.51,3.16,,,,,,
February,,,,,,2.71,2.87,1.28,2.31,4.57,4.05,3.65,1.9,4.81,,,,,,
March,,,,,,1.01,3.08,2.17,0.98,0.56,0.78,2.49,0.64,1.36,,,,,,
April,,,,,,1.4,2.68,2.88,3.11,2.99,1.67,0.74,4.35,0.89,,,,,,
May,,,,,,3.07,0.18,2.52,3.44,2.29,0.44,0.78,2.23,2.02,,,,,,
June,,,,,,3.36,1.84,0.56,2.41,4.92,1.98,2.01,2.97,1.92,,,,,,
July,,,,,,5.14,0.77,4.5,1.44,4.27,4.91,1.78,3.16,2.73,,,,,,
August,,,,,,1.65,2.82,4.16,4.45,5.63,1.34,5.76,1.63,1.12,,,,,,
September,,,,,,1.64,4.55,2.81,1.77,2.96,4.35,1.99,3.08,3.95,,,,,,
October,,,,,,5.48,1.62,2.5,3.21,0.67,4.82,1.33,6.67,2.85,,,,,,
November,,,,,,4.06,3.57,6.86,2.4,0.27,2.7,4.41,4.02,4.32,,,,,,
December,,,,,,1.05,8.34,2.1,1.51,0.96,4.13,3.3,2.81,1.05,,,,,,
Total,,,,,,33.73,33.56,38.46,28.45,33.48,31.67,29.72,34.97,30.18,,,,,,
