PLYMSTOCK THORNCOT HOOE,,,,,,,,,,,,
Grid ref,SX502522,Long,-4.106951,Lat,50.350608,,,,,,,
Station no,RR8745,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.34,3.27,1.77,4.40,5.99,,,,,,,
February,6.10,1.09,1.62,2.66,7.30,,,,,,,
March,2.12,3.22,2.44,5.30,1.98,,,,,,,
April,2.18,5.12,2.07,1.88,2.15,,,,,,,
May,1.71,1.61,2.26,1.86,3.95,,,,,,,
June,3.82,1.73,3.89,3.39,1.21,,,,,,,
July,1.55,2.70,2.45,4.55,6.56,,,,,,,
August,2.56,3.06,2.30,4.18,3.57,,,,,,,
September,1.87,5.01,2.81,4.44,3.32,,,,,,,
October,2.90,2.77,3.31,8.49,2.76,,,,,,,
November,4.62,0.69,6.18,2.00,2.28,,,,,,,
December,6.95,7.07,3.58,6.16,4.16,,,,,,,
Total,42.72,37.34,34.68,49.31,45.23,,,,,,,
Calc annual,42.72,37.34,34.68,49.31,45.23,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
