PLYMSTOCK-HOOE-THORNCOT,,,,,,,,,,,,,,,,,,,,
Grid ref,SX502522,Long,-4.10633,Lat,50.35135,Elevation,113,ft,,,,,,,,,,,,
Station no,RR8745,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,6.36,6.34,3.27,1.77,4.4,5.99,,,,,
February,,,,,,,,,,5.56,6.1,1.09,1.62,2.66,7.3,,,,,
March,,,,,,,,,,1.31,2.12,3.22,2.44,5.3,1.98,,,,,
April,,,,,,,,,,3.83,2.18,5.12,2.07,1.88,2.15,,,,,
May,,,,,,,,,,2.21,1.71,1.61,2.26,1.86,3.95,,,,,
June,,,,,,,,,,2.02,3.82,1.73,3.89,3.39,1.21,,,,,
July,,,,,,,,,,1.05,1.55,2.7,2.45,4.55,6.56,,,,,
August,,,,,,,,,,1.47,2.56,3.06,2.3,4.18,3.57,,,,,
September,,,,,,,,,,2.31,1.87,5.01,2.81,4.44,3.32,,,,,
October,,,,,,,,,,2.71,2.9,2.77,3.31,8.49,2.76,,,,,
November,,,,,,,,,,3.22,4.62,0.69,6.18,2,2.28,,,,,
December,,,,,,,,,,4.36,6.95,7.07,3.58,6.16,4.16,,,,,
Total,,,,,,,,,,36.41,42.72,37.34,34.68,49.31,45.23,,,,,
