AUDENSHAW RESERVOIRS,,,,,,,,,,
Grid ref,SJ906970,Long,-2.1430728,Lat,53.469651,Elevation,300,ft,,
Station no,2934/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.68,4.62,1.8,4.12,2.42,5.32,2.93,3.56,3.47,5.2
February,2.55,1.18,2,3.32,1.64,1.4,2.44,4.87,0.37,2.49
March,4.85,2.59,2.32,2.7,2,1.36,3.24,2.55,1.86,0.69
April,2.65,3.63,2.44,0.85,2.31,2.98,0.48,1.16,2.72,2.05
May,1.51,1.78,1.74,3.45,3.52,1.28,1.58,3.12,0.84,1.73
June,1.26,2.87,3.07,3.85,3.01,2.5,2.61,5.47,2.69,1.84
July,3.54,3.27,5.44,6.98,1.21,5.55,4.35,4.82,3.5,5.3
August,4.94,3.13,4.45,5.38,0.79,10.13,4.77,5.78,0.41,6.11
September,3,3.43,2.76,4.88,2.4,2.78,6.69,4.39,0.24,3.71
October,1.23,3.73,2.09,6.53,2.21,2.48,4.28,3.26,3.28,3.44
November,6.88,2.49,3.53,5.97,1.7,1.61,1.99,1.47,4.04,4.96
December,6.11,3.74,1.62,5.73,4.54,3.89,4.23,3.15,5.1,3.83
Total,42.2,36.46,33.26,53.76,27.75,41.28,39.59,43.6,28.52,41.35
