ANDOVER-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU359447,Long,-1.487561,Lat,51.200393,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,0.78,4.04,1.09,1.39,3.51,3.29,3.54,3.26,3.96,1.79,3.3,2.9,4.1,2.95,4.83,1.84,4.31,2.32,3.01,2.12,2.18,0.83,4.86,5.62,3.41,4.52,2.71,2.54,3.29,5.62,1.84,1.53,2.41,1.95,5.46,2.28,0.6,2.79,2.25,0.95,1.87,3.08,3.65,1.94,3.18,4.35,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,4.32,5.37,4.79,1.03,1.39,2.81,0.62,0.25,2.72,4.72,0.4,4,1.8,4.58,1.73,0.64,0.94,2.17,0.1,4.02,0.05,3.47,2.59,5.12,0.63,1.37,2.74,2.4,0.7,1.3,0.56,1.81,2.04,1.01,0.98,0.76,4.6,5.25,0.61,1.78,3.09,1.39,0.14,3.12,2.87,0.15,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,4.65,1.04,3.33,2.41,0.75,4.09,1.88,1.45,2.02,2.03,1.3,0.5,0.8,3.69,2.44,0.05,1,0.5,2,3.34,3.27,0.59,2.68,3.71,0.24,0.67,2.3,2.92,2.3,0.56,0.35,0.63,0.9,5.87,0.73,1.4,1.17,3.81,3.3,0.53,2.8,1.12,1.1,1.84,1.4,3.08,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.75,0.76,0.78,1.71,2.72,2.06,4.59,0.91,2.91,3.33,3.1,2.4,3.2,1.79,2.09,0.71,2.29,3.04,2.99,1.84,1.63,3.84,1.38,1.9,0.03,2.43,0.97,2.05,1.62,1.2,1.45,0.76,2.64,2.43,1.3,1.42,3.35,3.16,1.51,2.86,0.22,0.45,1.2,0.15,0.37,3.09,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.1,3.98,1.14,2.49,1.97,0.79,1.34,1.18,0.72,1.37,4.2,4.3,1.9,0.75,1.75,1.48,1.42,2.94,5.63,1.54,0.84,0.86,0.81,2.49,1.43,1.05,0.69,1.7,3.91,2.38,0.19,2.34,4.67,1.14,3.85,2.93,2.05,3.05,4.02,1.76,1.52,3.92,0.41,2.09,2.39,0.55,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.86,1.27,1.77,2.81,0.82,0.79,2.28,0.08,1.1,0.29,2.5,0,2.2,2.51,2.17,1.55,0.29,2.36,1.84,2.68,1.51,4.17,2.44,1.72,0.54,1.89,0.77,1.39,0.17,0.75,2.12,3.46,3.07,1.33,2.23,0.51,1.02,0.82,1.56,1.62,3.37,2.82,1.75,2.9,3.39,0.64,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.74,4.47,1.28,3.52,5.74,1.6,6.18,0.37,4.8,0.91,4.5,3.9,2.2,2.79,1.34,1.47,2.19,5.26,2.99,2.5,1.4,0.97,3.86,2.1,2.4,6.82,3,1.55,1.73,2,3.41,1.48,1.74,1.49,0.8,1.23,4.1,1.22,0.27,4.28,2.73,0.12,2.15,4.77,1.8,1.93,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.9,2.34,4.79,4.58,1.7,2.22,1.47,1.29,3.79,2.15,2.8,1.9,1,3.74,2.09,0.98,2.93,4,0.9,0.44,2.64,2.24,0.52,1.32,2.49,1.59,0.04,4.52,3.71,2.18,2.2,1.73,4.89,0.54,4.19,1.66,3.96,4.25,3.2,2.01,2.82,0.59,5.21,3.14,3.96,2.17,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.91,2.82,1.57,1.79,5,2.02,1.46,1.25,1.45,1.77,4.4,3.2,1.1,6.14,1.89,0.36,3.16,2.05,3.51,2.54,2.15,3.77,3.22,1.8,1.5,0.99,1.56,0.26,1.74,1.59,2.32,1.75,6.14,1.01,2.36,3.56,3.68,3.1,2.99,2.59,2.78,1.81,3.58,2.91,4.91,0.12,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.81,3.26,4.72,4.29,1.57,0.97,3.22,0.65,0.98,6.49,4.5,3.3,2.6,2.34,6.09,3.8,1.54,0.45,4.41,2.15,1.39,4.26,1.88,4.17,3.14,4.34,3.63,1.49,3.53,4.29,4.47,3.84,1.98,0.87,2.2,6.31,0.69,0.63,4.81,3.89,2.66,3.9,1.95,2.55,4.03,2.88,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
