"GULLANE, THE WARREN",,,,,,,,,,,,,,,,,,,,,
Grid ref,NT477829,Long,-2.8409236,Lat,56.036117,Elevation,115,ft,,,,,,,,,,,,,
Station no,RR6290,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,0.89,1.85,1.82,1.5,2.12,2.66,2.26,3.31,2.07,3.84,,,,,,,,,
February,,,1.91,0.64,1.4,1.8,3.37,0.49,2.85,2.02,1.66,0.12,,,,,,,,,
March,,,1.82,2.31,2.58,1.21,3.11,1.15,1.06,1.51,1.76,1.75,,,,,,,,,
April,,0.94,0.15,1.58,0.88,0.97,1.78,1.44,0.75,2.39,1.45,1.02,,,,,,,,,
May,,0.95,1.51,1.86,1.68,1.3,3.58,2.14,2.27,0.72,2.71,1.75,,,,,,,,,
June,,2.19,2.94,1.8,1.29,1.5,3.7,1.56,0.38,2,0.74,0.55,,,,,,,,,
July,,1.24,1.93,0.67,2.3,3.71,4.44,1.14,3.96,0.88,2.5,2.25,,,,,,,,,
August,,1.29,3.48,1.73,2.08,5.57,3.9,5.75,1.97,2.66,3.87,3.75,,,,,,,,,
September,,1.04,2.65,2.14,0.68,2.86,1.42,1.41,3.7,2.56,1.28,1.35,,,,,,,,,
October,,2.69,2.76,1.41,2.26,2.21,3.82,2.49,2.22,2.62,0.92,3.78,,,,,,,,,
November,,4.01,1.48,1.37,2.6,1.46,3.67,1.64,1.35,4.87,1.19,1.9,,,,,,,,,
December,,2.48,2.14,1.69,4.05,3.98,2.65,1.68,1.38,2.66,2.17,2.55,,,,,,,,,
Total,,,23.66,19.05,23.62,28.07,37.56,23.55,24.15,28.2,22.32,24.61,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1919 Nov 4.87 mistranscribed,,,,,,,,,,,,,,,,,,,,,
