PETERSFIELD-DOWNLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU752181,Long,-0.92982,Lat,50.95795,Elevation,374,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.94,1.13,3.75,1.77,4.38,6.59,0.81,5.58,2.08,1.69,4.6,7.97,5.27,5.05,6.38,2.22,3.78,5.25,7.16,,,,
February,,,,,,,,,1.71,0.47,5.15,2.6,3.93,1.49,6.61,6.97,5.31,1.23,2.17,3.4,0.86,0.32,4.22,7.16,0.5,6.66,2.76,,,,
March,,,,,,,,,3.73,5.55,1.38,2.65,5.6,3.85,6.04,1.05,3.55,2.81,1.62,6.44,3.31,1.71,3,2.38,2.14,0.61,0.78,,,,
April,,,,,,,,,2.68,1.77,2.88,1.85,0.02,3.41,1.85,1.36,1.27,2.62,2.4,3.13,4.35,1.31,4.5,4.25,3.72,3.73,3.39,,,,
May,,,,,,,,,2.45,2.58,2.12,3.28,0.83,3.3,1.46,4.07,1.96,2.12,1.78,0.73,1.56,2.65,1.46,2.85,4.75,5.53,,,,,
June,,,,,,,,,1.08,3.13,2.36,2.29,4.5,0.82,1.7,1.2,2.81,3.4,1.35,0.69,2.17,0.15,1.6,0.55,3.21,0.04,3,,,,
July,,,,,,,,,3.29,3.63,3.1,0.75,2.87,2.32,3.77,5.2,1.16,3.27,6,1.89,7.06,0.57,4.64,1.11,4.81,3.64,2.54,,,,
August,,,,,,,,,5.65,3.26,4.53,0.71,8.28,1.9,2.69,2.16,3.37,7.74,2.06,3.66,1.8,3.25,3.18,3.4,3.6,5.15,1.79,,,,
September,,,,,,,,,2.05,3.83,0.2,1.79,4.33,3.17,1.81,2.76,2.58,2.22,7,2.39,2.82,1.08,2.83,2.7,6.16,3.09,0.71,,,,
October,,,,,,,,7.5,3.03,9.57,4.71,5.55,4.29,5.25,3.05,4.7,6.46,5.85,2.12,0.53,4.31,0.93,1.38,7.41,4.93,5.12,2.94,,,,
November,,,,,,,,3.18,1.54,0.77,4.8,5.65,2.28,4.22,4.17,3.79,5.41,1.44,3.22,2.76,2.3,3.21,2.86,1.68,3.36,4.4,9.44,,,,
December,,,,,,,,4.35,4.19,5.91,6.53,11.34,5.68,2.54,10.8,10.38,4.74,1.57,4.38,7.72,4.54,2.84,5.2,4.48,6.09,4.34,0.36,,,,
Total,,,,,,,,,33.34,41.6,41.51,40.23,46.99,38.86,44.76,49.22,40.7,35.96,38.7,41.31,40.35,23.07,41.25,40.19,47.05,47.56,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 Oct 1 Gauge started It is at bottom of a narrow valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read first day of each month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
