BEDDINGTON-RIVERSIDE,,,,,,,,,,
Grid ref,TQ296666,Long,-0.13893,Lat,51.38381,Elevation,102,ft,,
Station no,RR4446,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.56,1.14,2.06,2.27,1.68,3.52,1.53,0.91,
February,,2.8,1.42,3.94,1.51,2.24,0.39,0.45,1,
March,0.56,1.37,0.75,0.89,1.42,1.58,1.13,1.71,2.98,
April,1.89,0.44,2.79,1.36,1.49,1.7,1.44,1.7,1.66,
May,0.35,0.94,0.92,1.9,0.84,2.57,4.74,1.75,0.81,
June,3.03,1.65,2.38,0.82,1.61,2.02,0.83,0.96,2.18,
July,3.47,2.14,2.37,2.22,1.59,0.39,2.16,2.09,7.15,
August,0.37,3.96,0.97,0.59,0.91,1.13,0.91,2.17,2.53,
September,5.16,2.11,3.08,3.18,1.85,4.12,1.48,2.06,0.81,
October,6.79,2.43,5.65,1.74,1.32,3.02,2.1,1.58,,
November,2.04,2.67,2.15,3.22,1.37,2.59,2.92,4.28,,
December,2.27,2.51,1.83,0.56,2.18,1.14,4.13,1.34,,
Total,,24.58,25.45,22.48,18.36,24.18,25.75,21.62,,
,,,,,,,,,,
Lived at Woodlands Beddington Lane,,,,,,,,,,
Unable to find house but from census and distance of move this area fits and elevation matches,,,,,,,,,,
,,,,,,,,,,
1880 Mar Gauge started,,,,,,,,,,
1888 Oct 9 Gauge moved to Riverside on the Wandle 1 mile S,,,,,,,,,,
