CHORLTON-CUM-HARDY (SEWAGE WORKS) observer J H Casentelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ807931,Long,-2.291968,Lat,53.434324,Elevation,76,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.16,1.44,2.11,1.46,3.36,1.15,2.74,3.01,1.87,4.6,2.43,2.19,2.29,3.67,3.49,4.52,2.76,2.8,2.75,,,,,,
February,,,,,,,2.93,1.46,2.44,1.09,2.35,2.37,0.8,1.18,1.81,2.33,4.04,1.06,3.7,0.57,3.01,0.4,3.54,4.27,0.89,,,,,,
March,,,,,,,2.71,2.52,2.44,2.5,0.42,1.29,4.07,3.27,3.31,1.29,1.85,2.02,1.42,5.63,2.91,2.4,2.08,1.49,1.24,,,,,,
April,,,,,,2.32,1.71,0.94,1.92,2.57,2.52,2.03,0.61,3.79,1.07,1.24,2.46,1.32,0.98,2.36,4.08,1.13,2.26,2.81,1.51,,,,,,
May,,,,,,0.73,2.91,3.64,2.13,1.3,3.2,0.83,2.29,2.23,1.73,1.36,2.7,2.31,2.23,1.62,4.57,1.99,1.34,2.98,4.99,,,,,,
June,,,,,,2.37,1.33,5.25,1.93,1.85,3.33,2.52,3.43,2.11,1.95,2.73,2.89,1.65,1.46,1.47,2.74,0.22,2.19,0.56,2.81,,,,,,
July,,,,,,2.37,1.92,3.68,4.16,3.73,3.72,0.64,4.14,1.24,4.1,4.42,1.37,2.42,4.21,1.82,6.87,0.98,4.33,6.14,3.57,,,,,,
August,,,,,,4.05,2.3,3.63,3.07,3.32,5.5,2.44,5.63,1.99,2.67,3.42,1.81,6,2.8,3.3,1.57,4.43,4.23,4.2,5.19,,,,,,
September,,,,,,2.29,1.68,0.78,2.6,1.99,0.15,3.54,1.81,1.33,2.29,0.5,2.12,2.04,7.97,1.71,2.64,0.92,3.12,3.69,3.33,,,,,,
October,,,,,,2.69,4.97,3.1,1.44,4.68,2.95,2.46,3.35,1.75,1.43,1.25,3.59,5.17,2.99,2.2,1.13,2.02,0.15,4.33,3.84,,,,,,
November,,,,,,3.04,2.46,2.31,2.73,0.86,4.05,2.93,2.25,2.78,3.25,1.44,2.1,3.59,1.58,2.45,0.87,2.12,2.35,4.83,1.36,,,,,,
December,,,,,,0.55,3.44,2.42,2.46,5.66,2.22,4.83,3.14,2.31,4.83,5.31,2.74,1.32,5.91,4.98,2.48,4.12,3.56,4.12,3.63,,,,,,
Total,,,,,,,32.52,31.17,29.43,31.01,33.77,27.03,34.26,26.99,30.31,29.89,30.1,31.09,37.54,31.78,36.36,25.25,31.91,42.22,35.11,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_19_pt1-page-005.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1910-1919_18_pt1-page-066.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_20_pt1-page-068.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
