BLOXHOLM HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF065536,Long,-0.412,Lat,53.069,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906
January,1.34,3.02,2.22,3.16,1.68,1.37,0.19,0.62,1.89,2.45,2.70,1.73,2.88,2.80,0.65,1.42,2.29,1.70,0.96,1.23,1.68,3.27,0.94,2.11,0.94,1.98,2.91,0.84,1.15,1.46,1.05,0.75,2.78
February,1.54,1.37,2.41,2.58,1.09,2.73,1.93,1.12,1.55,2.83,0.73,2.11,0.31,0.42,1.52,1.57,1.13,0.05,1.61,2.21,1.40,0.77,0.48,3.28,0.28,1.24,4.51,1.31,1.66,0.51,3.01,0.48,1.99
March,0.74,0.65,2.99,2.09,0.59,0.66,1.61,2.19,1.27,1.25,0.65,0.74,2.30,1.28,2.91,0.47,1.76,1.20,0.78,0.29,0.39,1.98,2.14,2.09,1.27,0.60,0.50,1.57,1.35,3.00,1.38,1.53,1.73
April,1.21,0.65,3.10,3.43,2.02,2.52,2.43,0.87,3.25,2.18,0.94,1.57,1.51,1.27,1.94,2.10,0.47,1.62,1.25,0.33,2.16,1.59,0.65,1.02,1.86,2.47,0.99,1.29,1.77,0.90,1.03,1.61,0.67
May,1.26,1.38,0.35,2.04,3.86,3.50,1.20,1.99,2.15,2.26,0.93,1.79,4.76,1.60,0.69,3.93,1.90,2.76,1.90,1.24,1.96,0.80,0.64,1.16,2.30,2.67,1.38,1.53,2.89,2.67,1.43,0.67,1.76
June,0.69,2.74,3.21,1.62,2.01,3.99,3.68,1.48,3.60,3.86,0.89,1.99,1.03,0.42,1.42,0.58,1.28,2.59,3.06,1.31,2.37,1.42,2.46,2.98,1.43,1.84,1.48,0.87,2.04,0.92,0.80,2.62,2.03
July,0.90,4.52,0.97,2.62,0.93,5.43,5.78,2.12,2.02,2.58,2.84,0.34,2.77,1.30,5.18,1.18,1.79,2.71,2.36,3.01,2.47,3.89,1.78,1.14,0.55,1.54,0.87,2.70,1.02,2.32,3.31,1.43,1.78
August,0.86,2.01,3.02,3.62,7.11,4.26,1.31,4.71,3.65,0.90,0.57,1.15,1.93,1.02,2.34,3.01,1.75,3.46,1.25,1.18,2.23,2.12,1.47,3.39,2.55,0.51,4.21,1.85,4.00,4.03,1.51,3.18,1.78
September,1.68,1.98,3.75,2.97,2.01,3.88,4.68,2.87,2.47,5.81,1.81,3.77,1.34,2.26,1.60,1.67,0.94,1.38,2.99,1.13,1.07,0.32,4.46,2.49,0.44,2.21,0.92,1.20,0.85,2.88,2.55,2.29,1.20
October,2.07,5.11,1.48,1.62,2.84,1.07,5.52,2.36,4.59,2.96,1.04,5.15,3.58,1.94,0.49,5.40,0.94,3.73,4.58,1.34,2.77,2.35,2.74,0.57,2.66,2.89,2.18,2.06,2.17,5.48,0.94,1.38,4.66
November,2.62,4.04,4.15,2.03,4.16,1.27,2.02,2.83,2.93,3.61,1.25,2.48,2.27,1.73,2.33,0.39,3.27,2.76,1.07,1.96,1.77,2.81,1.00,1.83,1.91,0.99,0.90,1.52,1.15,1.85,0.82,2.16,2.86
December,1.24,1.12,5.27,1.65,1.88,0.96,2.24,2.20,4.34,0.93,2.57,0.93,2.66,1.00,1.32,1.43,0.77,2.79,0.64,2.07,1.83,1.91,3.54,1.31,1.55,1.96,3.87,4.09,1.49,0.94,1.42,1.00,2.04
Total,16.15,28.59,32.92,29.43,30.18,31.64,32.59,25.36,33.71,31.62,16.92,23.75,27.34,17.04,22.39,23.15,18.29,26.75,22.45,17.30,22.10,23.23,22.30,23.37,17.74,20.90,24.72,20.83,21.54,26.96,19.25,19.10,25.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
