FULMODESTONE SCHOOL,,,,,,,,,,,,
Grid ref,TF994306,Long,0.958845,Lat,52.836000,,,,,,,
Station no,1443/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,3.09,1.27,1.91,2.04,2.85,1.79,2.36,3.31,3.81,,
February,2.54,1.16,1.91,2.50,3.10,1.76,2.51,3.47,0.18,1.92,,
March,3.20,2.59,1.14,2.49,1.65,0.79,1.83,1.11,0.95,1.36,,
April,3.27,2.00,2.67,0.39,0.63,1.12,0.47,1.29,1.74,0.67,,
May,2.64,1.75,1.64,1.78,2.53,0.54,1.44,3.12,1.19,0.51,,
June,1.31,0.46,3.78,2.38,2.42,2.29,2.17,2.52,1.71,0.95,,
July,2.05,1.73,2.84,2.87,0.28,2.72,3.91,4.28,3.67,2.62,,
August,2.88,2.34,2.99,4.99,0.80,4.22,1.98,2.19,1.68,3.02,,
September,2.05,3.45,1.24,2.25,2.12,1.39,4.06,2.25,0.07,2.74,,
October,0.85,2.50,2.61,2.33,3.48,2.66,1.38,2.42,2.59,3.86,,
November,2.95,4.70,1.49,4.12,1.16,1.55,2.01,1.12,2.74,4.02,,
December,1.56,2.74,1.34,1.95,1.69,1.08,2.80,2.91,3.70,3.91,,
Total,28.24,28.51,24.92,29.96,21.90,22.97,26.35,29.04,23.53,29.39,,
Calc annual,28.24,28.51,24.92,29.96,21.90,22.97,26.35,29.04,23.53,29.39,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,,
