BOSTON - COWBRIDGE,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF328472,Long,-0.022,Lat,53.006,Elevation,9,ft,,,,,,,,,,,,,,,
Station no,2541/3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.14,3.99,1.60,2.74,2.34,4.00,2.22,2.23,1.12,2.10,3.46,1.09,0.95,2.85,1.28,0.90,1.23,2.21,5.27,1.55,1.71,2.62,3.43
February,0.83,0.42,2.17,2.38,0.96,0.41,2.10,1.60,1.60,1.79,0.76,0.53,2.89,2.62,0.41,1.44,2.29,2.94,1.23,3.06,3.49,0.13,2.79
March,0.21,1.92,1.48,3.26,1.36,0.50,0.38,0.64,0.98,4.12,0.37,0.80,0.52,2.95,2.51,0.76,1.57,2.03,0.76,1.44,1.40,2.06,1.25
April,0.21,1.51,1.36,0.70,0.61,0.88,1.65,1.10,1.00,1.57,0.96,1.95,1.81,2.25,0.99,2.13,0.38,1.26,1.32,0.14,0.71,1.48,0.50
May,1.94,0.70,0.90,1.94,2.45,2.33,1.06,1.14,1.30,0.38,2.80,1.65,3.18,2.95,2.18,3.48,2.21,2.83,0.48,1.81,2.59,0.39,0.72
June,1.17,2.19,1.09,0.33,1.57,1.51,2.53,2.06,2.90,2.83,3.44,0.56,1.54,0.76,1.76,2.87,2.84,2.49,2.17,1.70,3.65,0.43,0.48
July,2.53,1.49,4.81,4.44,2.40,0.81,1.56,1.93,2.27,1.54,1.31,3.15,2.66,0.88,0.32,1.11,1.60,0.98,2.23,2.54,4.40,2.31,2.92
August,2.36,1.41,0.57,3.86,1.81,2.02,2.34,4.35,3.04,0.02,3.26,2.19,1.79,3.21,2.09,2.99,3.67,0.60,3.72,1.74,1.77,0.85,5.03
September,2.14,1.00,0.52,0.71,0.97,1.87,3.35,1.13,2.73,1.46,2.06,1.56,3.53,1.42,2.24,0.92,2.16,1.05,1.67,3.98,1.87,0.43,2.61
October,1.80,2.87,2.70,2.76,2.27,0.79,2.43,2.00,3.08,0.20,1.60,3.63,0.96,0.89,1.71,2.19,2.23,1.33,0.87,1.47,1.90,1.20,4.91
November,1.65,3.41,4.05,2.73,2.44,1.72,3.26,0.78,4.10,0.79,1.16,2.38,3.57,3.16,2.40,1.76,3.58,1.06,0.77,1.67,0.90,1.58,3.43
December,3.93,2.02,1.57,0.42,1.41,0.72,1.07,2.04,2.09,1.80,3.13,1.12,1.45,0.95,1.52,0.73,2.06,1.44,1.24,1.70,2.46,3.06,4.19
Total,20.91,22.93,22.82,26.27,20.59,17.56,23.95,21.00,26.21,18.60,24.31,20.61,24.85,24.89,19.41,21.28,25.82,20.22,21.73,22.80,26.85,16.54,32.26
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/113,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/198,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/199,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The reading for March 1941 is part-estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1971 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,
