BLUNTISHAM-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL368744,Long,0.007050191,Lat,52.350608,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1155/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.66,1.68,2.28,2.13,3.41,1.28,1.7,1.08,1.69,3.77,1.11,1.16,2.7,1.49,,,,,,,,
February,,,,,,,,,0.48,2.21,2.08,1.12,0.68,0.95,1.29,1.59,1.36,0.97,0.66,3.02,2.53,1.68,,,,,,,,
March,,,,,,,,,1.78,2.38,3.37,1.31,0.81,0.37,0.41,1.29,5.26,0.52,0.62,0.33,3.29,3.06,,,,,,,,
April,,,,,,,,,1.68,1.34,0.97,0.83,0.85,1.4,0.63,1.12,1.53,1.48,1.27,2.16,2.84,,,,,,,,,
May,,,,,,,,,0.72,1.31,1.91,2.27,1.8,0.79,2.13,2.11,0.57,4.18,2.39,3.2,2.63,,,,,,,,,
June,,,,,,,,,1.86,0.51,1.54,0.53,1.86,1.13,1.69,3.85,3.29,2.2,0.73,1.78,1.95,,,,,,,,,
July,,,,,,,,,2.07,3.17,2,2.93,0.66,1.77,1.71,2.06,2.02,1.26,3.15,4.59,0.83,,,,,,,,,
August,,,,,,,,,3.5,0.17,3.84,2,1.73,2.43,2.02,3.53,0.16,3.06,0.89,1.92,3.93,,,,,,,,,
September,,,,,,,,3.31,1.45,0.54,1.02,1.18,1.26,2.76,2.08,3.4,1.03,2.25,0.55,2.38,1.85,,,,,,,,,
October,,,,,,,,2.2,3.93,1.58,1.48,2.4,1.17,2.54,2.75,1.4,0.35,2.7,4.09,0.5,1.05,,,,,,,,,
November,,,,,,,,1.81,2.97,5.45,2.44,1.92,1.16,2.64,0.13,3.57,1.46,1.41,2.02,3.66,3.19,,,,,,,,,
December,,,,,,,,3.07,1.05,1.54,0.67,1.77,0.79,0.89,2.19,2.08,2.19,1.55,1.37,1.44,1.11,,,,,,,,,
Total,,,,,,,,,25.15,21.88,23.6,20.39,16.18,18.95,18.73,27.08,20.91,25.35,18.85,26.14,27.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Sep IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
