REDBROOK (PUMPING STN),,,,,,,,,,,,
Grid ref,SO539108,Long,-2.669839,Lat,51.793940,,,,,,,
Station no,2123/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.99,3.09,0.68,2.62,3.09,4.04,2.91,3.18,5.66,5.28,,
February,5.80,0.57,1.52,3.07,1.79,0.49,4.39,5.12,0.29,4.24,,
March,4.86,2.22,1.09,3.75,2.85,0.98,3.31,1.23,4.20,2.92,,
April,2.29,2.67,4.16,0.21,1.37,2.53,0.05,0.76,4.12,2.24,,
May,3.69,4.21,2.62,3.20,5.64,0.74,1.90,3.15,1.44,1.88,,
June,1.12,1.59,2.71,5.98,4.17,3.49,0.67,5.16,1.38,2.07,,
July,0.99,1.68,3.71,2.67,0.41,3.69,3.47,2.63,2.87,3.74,,
August,4.63,5.75,3.04,3.73,0.74,3.17,3.48,2.83,1.23,3.19,,
September,5.61,3.16,3.72,3.30,1.54,4.73,3.78,7.18,0.10,4.79,,
October,1.53,4.23,3.35,4.39,2.15,1.79,1.96,4.14,2.72,8.73,,
November,8.85,4.52,1.83,8.40,5.20,1.02,2.77,2.74,6.59,7.91,,
December,3.66,2.12,1.46,2.94,4.99,5.28,3.32,4.24,9.93,4.04,,
Total,47.02,35.81,29.89,44.26,33.94,31.95,32.01,42.66,40.53,51.03,,
Calc annual,47.02,35.81,29.89,44.26,33.94,31.95,32.01,42.36,40.53,51.03,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,,
