REDBROOK-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO539108,Long,-2.669839,Lat,51.79394,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2123/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.99,6.01,5.35,3.79,6.81,2.76,5.62,3.25,8.74,2.72,2.46,4.02,3.27,5.72,1.27,0.45,3.99,3.09,0.68,2.62,3.09,4.04,2.91,3.18,5.66,5.28
February,,,,,3.24,3.29,5.5,1.11,2.14,3.39,4.96,0.62,2.32,0.83,2.97,1.88,2.17,1.37,1.53,7.75,5.8,0.57,1.52,3.07,1.79,0.49,4.39,5.12,0.29,4.24
March,,,,,0.66,4.31,5.27,0.14,1.67,2.48,2.5,3.17,1.27,0.19,1.01,1.29,8.08,2.12,1.45,2.54,4.86,2.22,1.09,3.75,2.85,0.98,3.31,1.23,4.2,2.92
April,,,,2.78,5.7,3.19,1.94,0.14,3.18,3.05,1.36,2.72,1.11,1.46,1.58,2.64,3.88,3.02,3.07,1.71,2.29,2.67,4.16,0.21,1.37,2.53,0.05,0.76,4.12,2.24
May,,,,1.62,1.02,0.69,2.72,3.01,1.04,2.55,2.53,5.29,4.7,0.83,2.62,4.43,2.84,3.71,2.8,2.01,3.69,4.21,2.62,3.2,5.64,0.74,1.9,3.15,1.44,1.88
June,,,,1.04,4.67,4.59,1.05,1.41,2.29,0.58,2.09,0.12,2.13,2.52,3.51,3.48,2.33,2.16,0.68,1.34,1.12,1.59,2.71,5.98,4.17,3.49,0.67,5.16,1.38,2.07
July,,,,0.64,0.43,7.65,3.52,3.9,4.79,3.44,2.23,1.61,1.87,2.24,4.04,1.2,3.25,1.3,0.64,3.12,0.99,1.68,3.71,2.67,0.41,3.69,3.47,2.63,2.87,3.74
August,,,,2.45,1.81,0.52,1.65,3.91,2.52,0.1,4.02,3.86,3.79,2.78,2.82,6.16,1.16,3.93,1.61,4.93,4.63,5.75,3.04,3.73,0.74,3.17,3.48,2.83,1.23,3.19
September,,,,2.33,5.19,3.89,2.05,1.69,0.81,0.76,0.68,2.63,3.63,3.54,2.18,5.22,1.43,2.59,2.48,3.96,5.61,3.16,3.72,3.3,1.54,4.73,3.78,7.18,0.1,4.79
October,,,,2.71,4.88,1.89,4.25,4.25,3.22,6.08,2.42,2.34,2.7,5.72,4.3,1.58,0.79,3.63,7.06,1.24,1.53,4.23,3.35,4.39,2.15,1.79,1.96,4.14,2.72,8.73
November,,,,2.39,7.04,3.25,1.82,4.87,5.62,7.83,3.66,0.86,1.89,5.98,0.72,7.26,1.9,1.82,3.94,5.64,8.85,4.52,1.83,8.4,5.2,1.02,2.77,2.74,6.59,7.91
December,,,,8.56,4.77,5.64,3.21,5.17,1.72,1.71,3.33,5.49,2.35,3.11,7.14,5.4,2.09,6.49,1.89,1.73,3.66,2.12,1.46,2.94,4.99,5.28,3.32,4.54,9.93,4.04
Total,,,,,40.4,44.92,38.33,33.39,35.81,34.73,35.4,31.96,36.5,31.92,35.35,44.56,33.19,37.86,28.42,36.42,47.02,35.81,29.89,44.26,33.94,31.95,32.01,42.66,40.53,51.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Dec IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
