AYR HOLMSTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 359 210,Long,-4.596819,Lat,55.455969,Elevation,60,ft,,,,,,,,,,,,
Station no,RR1853,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,5.04,3.75,3.56,7.27,6.29,4.35,,,,,
February,,,,,,,,,,5.49,2.58,4.08,2.45,0.54,1.36,,,,,
March,,,,,,,,,,-999,1.54,3.21,2.94,2.66,2.45,,,,,
April,,,,,,,,,,-999,1.59,3.22,0.78,0.3,1.57,,,,,
May,,,,,,,,,,0.71,3.37,0.8,4.72,2.82,1.56,,,,,
June,,,,,,,,,,1.62,2.28,2.13,5.71,1.9,0.34,,,,,
July,,,,,,,,,,2.63,1.82,3.8,2.96,4.21,2.39,,,,,
August,,,,,,,,,,1.5,2.07,5,3.36,4.72,4.91,,,,,
September,,,,,,,,,,5.75,3.76,2.31,6.96,6.1,3.84,,,,,
October,,,,,,,,,,2.53,4.31,2.32,4.01,5.22,7.43,,,,,
November,,,,,,,,,,7.07,1.69,3.65,4.31,2.43,4.53,,,,,
December,,,,,,,,,,5.87,1.69,4.84,6.22,2.79,,,,,,
Total,,,,,,,,,,40.66,30.45,38.92,51.69,39.98,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location approximate,,,,,,,,,,,,,,,,,,,,
