"HAVERHILL GREAT THURLOW",,,,,,,,,,,,
Grid ref,TL677502,Long,0.448313,Lat,52.124671,,,,,,,
Station no,RR2851,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.77,0.48,0.69,1.87,1.96,1.28,2.48,1.09,0.72,0.90,,
February,2.38,0.76,1.03,0.42,2.68,1.19,1.66,1.22,1.51,0.44,,
March,0.90,1.76,1.25,2.08,1.58,2.14,1.74,1.10,2.14,2.29,,
April,0.67,2.40,0.73,2.06,0.90,1.85,0.66,3.85,2.96,1.74,,
May,1.00,1.01,3.31,3.09,1.58,1.35,1.02,3.07,1.04,1.44,,
June,2.66,2.39,3.17,4.69,1.04,2.74,3.06,1.70,1.08,3.76,,
July,1.92,1.45,1.03,3.83,2.04,0.84,0.75,1.76,3.28,2.98,,
August,3.36,1.61,4.42,3.18,2.40,2.38,1.33,2.70,2.74,2.07,,
September,0.37,1.79,0.55,2.74,1.04,1.52,1.37,0.61,0.95,2.26,,
October,2.00,2.28,1.46,4.77,0.71,1.35,4.03,2.55,1.48,3.91,,
November,2.17,1.13,1.14,2.10,1.30,2.03,3.72,2.14,1.20,0.70,,
December,2.36,2.87,1.20,1.10,1.78,0.81,2.71,3.00,1.83,,,
Total,22.56,19.93,19.98,31.93,19.01,19.48,24.53,24.79,20.93,,,
Calc annual,22.56,19.93,19.98,31.93,19.01,19.48,24.53,24.79,20.93,22.49,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
