BWLCH-BUCKLAND-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO130212,Long,-3.2653759,Lat,51.882549,Elevation,486,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,0.4,1.7,3.66,5.11,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,8.18,2.4,1.8,2.28,,,5.29,6.83,3.06,,,,,,,,,,,,,,,
February,,1.34,0.85,2.18,3.17,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,3.9,2.67,1.98,0.68,,,4.13,3.67,7.74,,,,,,,,,,,,,,,
March,,3.62,3.66,0.63,6.64,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,2.98,2.38,5.66,4.91,,,7.96,9.03,5.57,,,,,,,,,,,,,,,
April,,2.73,2.73,0.07,0.74,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,1.34,3.26,2.18,3.45,,,0.26,9.39,1.9,,,,,,,,,,,,,,,
May,,3.84,3.57,0.06,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,2.67,4.34,3.25,1.34,,,2.13,3.87,2.48,,,,,,,,,,,,,,,
June,,1.55,2.86,1.76,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,2.3,3.68,0.77,3.69,,,4.4,1.22,2.24,,,,,,,,,,,,,,,
July,,2.19,2.25,2.78,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.77,2.97,2.58,1.97,,,5.2,0.93,5.34,,,,,,,,,,,,,,,
August,,2.85,2.67,4.12,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,2.55,2.97,6.27,1.58,,,9.73,2.05,2.09,,,,,,,,,,,,,,,
September,,1.49,3.49,6.11,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,0.94,0.75,2.86,3.37,,,1.07,3.17,1.35,,,,,,,,,,,,,,,
October,,3.64,3.89,6.57,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,6.5,7.92,3.69,9.33,,,5.62,7.65,3.39,,,,,,,,,,,,,,,
November,,2.25,1.23,2.51,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,4.51,2.71,2.31,1.79,,,2.94,5.72,6.14,,,,,,,,,,3.92,,,,,
December,,3.46,2.39,0.67,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,2.5,7.14,4.51,8.86,,,7.28,2.6,12.39,,,,,,,,,,9.11,,,,,
Total,,29.36,31.29,31.12,38.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.33,34.76,39.14,43.19,37.86,43.25,,,56.01,56.13,53.69,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is in the gardens at Buckland. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each decade has a different observer and the gauges may be in different location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860s record has no altitude and 1920s is 475 ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
