HOVE-MARINE-PARK (TOWN HALL),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ2895204795,Long,-0.17038817,Lat,50.828339,Elevation,40,ft,,,,,,,,,,,,
Station no,RR4896,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.86,2.66,4.33,1.06,4.65,0.86,1.36,0.99,2.87,1.52,2.98,5.18,,,,,,
February,,,1.35,1.05,3.09,0.55,2.15,1.37,1.07,0.28,3.75,1.26,2.59,1.17,,,,,,
March,,,1.17,1.83,0.91,3.9,1.13,0.81,1.97,3.51,1.4,2.21,4.29,2.78,,,,,,
April,,,0.63,1.82,1.44,1.76,0.95,3.26,2.06,1.04,1.88,1.7,0,3.04,,,,,,
May,,,1.92,0.86,4.62,0.55,1.84,1.57,1.8,1.05,2.43,0.82,1.47,2.11,,,,,,
June,,,2.34,2.39,0.95,3.3,2.01,1.99,1.26,2.18,2.81,2.23,2.87,0.77,,,,,,
July,,,1.15,3.93,0.5,0.36,0.33,0.88,2.55,2.78,2.62,0.45,1.35,2.82,,,,,,
August,,,2.77,3.09,1.71,1.87,1.16,1.06,2.32,2.97,2.37,0.35,6.21,2.55,,,,,,
September,,,0.31,2.16,1.58,2.33,1.18,0.49,1.76,3.33,0.06,1.67,2.56,1.64,,,,,,
October,,,,5.71,2.23,1.18,4.22,4.03,0.86,7.87,2.94,4.73,3.55,4.76,,,,,,
November,,,,1.66,1.23,4.59,5.18,1.88,1.05,1.24,5.61,6.01,2.13,4.8,,,,,,
December,,,,1.99,3.12,0.66,2.04,2.66,2.57,4.33,3.27,6.32,4.43,1.52,,,,,,
Total,,,,29.15,25.71,22.11,26.84,20.86,20.63,31.57,32.01,29.27,34.43,33.14,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation corrected from OS map,,,,,,,,,,,,,,,,,,,,
1914 Gauge move,,,,,,,,,,,,,,,,,,,,
