STRATHAVEN (GLENGAVEL RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS663351,Long,-4.123064,Lat,55.59112,Elevation,839,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5189/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.3,9.32,5.63,8.23,3.19,5.65,6.66,8.99,4.55,3.28,0.97,6.93,5.17,8.23,3.68,5.93,4.21,9.48,7.52,4.52,5.66,5.95,4.18,5.94,3.24,3.49,6.05,4.52,1.54,5.9
February,5.52,0.07,5.33,0.87,8.29,3.23,6.56,2.77,7.2,1.96,4.07,1.29,6.93,2.72,9.45,4.2,0.57,5.58,7.16,5.72,3.08,2.15,2.55,3.69,1.99,2.21,3.34,4.11,3.13,4.27
March,1.03,3.28,4.76,3.31,2.86,3.04,1.41,4.8,4.44,6.41,3.38,2.24,3.3,0.95,4.14,3.71,3.88,5.34,3.74,4.68,4.6,2.47,1.18,3.54,2.05,3.33,4.72,1.65,2.9,2.32
April,2.31,4.59,3.08,4.74,3.97,1.34,3.05,0.92,3.14,2.98,2.17,1.88,4.19,4.15,2.25,2.28,7.28,5.05,6.05,6.23,4.18,3.57,3.44,2.42,3.42,1.54,3.46,2.23,3.82,3.45
May,3.67,2.7,2.45,4.46,0.8,2.06,1.92,4.19,0.72,1.57,4.37,2.55,4.42,4.17,6.28,0.81,4.04,1.53,2.07,2.31,2.15,2.38,3.17,3.91,4.43,3.19,3.53,3.75,2.1,1.88
June,7.26,2.19,2.5,3.11,4.69,2.24,4.42,6.74,2.79,1.49,1.03,1.68,5.05,5.42,4.88,4.54,3.97,6.51,1.32,4.05,2.57,4.21,1.3,5.46,2.82,3.87,3.04,3.07,4.22,2.25
July,5.04,4.34,5.49,3.36,3.11,6.38,5.13,7.34,5.24,5.31,4.42,4.28,3.25,3.53,3.17,5.39,4.11,4.31,2.2,6.44,5.39,4.82,7.27,5.84,2.18,5.8,4.91,4.36,7.7,4.46
August,1.76,2.21,4.71,4.89,2.08,4.34,4.48,4.84,1.9,3.69,7.92,4.35,5.61,4.86,2.09,2.71,0.2,7.6,5.46,6.68,6.67,4.38,3.88,6.81,2.13,7.27,6.6,5.99,1.45,3.65
September,1.46,8.36,1.5,5.39,8.32,4.29,3.64,4.78,2.73,6.87,2,5.92,3.65,6.49,7.73,10.3,6.5,7.2,2.16,13.95,5.18,3.88,5.76,8.41,5.39,4.97,3.7,4.67,1.47,3.24
October,6.16,7.54,3.97,9.31,10.43,7.78,4.37,12.4,2.44,5.79,4.81,8.62,10.2,5.65,6.24,0.76,2.42,7.46,8.02,6.14,1.62,4.49,3.35,11.48,3.23,5.3,6.7,4.31,8.47,3
November,7.4,6.01,1.8,2.82,7.86,5.3,1.66,10.01,10.9,6.83,3.39,1.61,3.89,10.93,0.9,7.01,10.22,5.13,6.71,5.39,7.91,3.56,9.18,8.85,2.14,2.34,3.06,2.35,7.42,7.75
December,7.61,9.68,1.82,5.77,3.18,7.4,2.73,3.43,3.18,8.06,3.31,6.46,4,6.3,3.09,4.54,4.45,6.97,13.23,2.36,9.81,5.38,5.42,9.57,9.55,7.58,7.22,6.37,7.45,8.54
Total,54.52,60.29,43.04,56.26,58.78,53.05,46.03,71.21,49.23,54.24,41.84,47.81,59.66,63.4,53.9,52.18,51.85,72.16,65.64,68.47,58.82,47.24,50.68,75.92,42.57,50.89,56.33,47.38,51.67,50.71
