ST-ASAPH-BRYNBELLA,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ080726,Long,-3.3800658,Lat,53.242423,Elevation,280,ft.,,,,,,,,,,,,
Station no,RR2438,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.51,2.86,2.18,2.29,1.95,1.2,,,,,,,,
February,,,,,,,2.5,1.49,2.61,3.75,1.37,1.79,,,,,,,,
March,,,,,,,1.15,1.56,2.77,2.11,1.79,1.13,,,,,,,,
April,,,,,,,1.97,2.67,1.32,1.41,1.41,1.98,,,,,,,,
May,,,,,,,1.2,1.86,0.86,4.81,0.84,1.53,,,,,,,,
June,,,,,,,3.8,0.65,0,1.16,1.07,2.88,,,,,,,,
July,,,,,,,2.75,4.48,0.25,0.23,0.47,3.68,,,,,,,,
August,,,,,,,3.08,1.17,2.11,1.74,1.8,1.01,,,,,,,,
September,,,,,,,4.35,2.18,1.48,5.16,1.47,4.65,,,,,,,,
October,,,,,,,1.26,4.43,3.3,3.56,5.7,4.29,,,,,,,,
November,,,,,,,3.4,1.21,2.63,3.15,3.03,2,,,,,,,,
December,,,,,,,1.95,4.08,7.22,2.66,3.02,1.82,,,,,,,,
Total,,,,,,,29.92,28.64,26.73,32.03,23.92,27.96,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the walled garden to Brynbella as described on the record. Altitudes match.,,,,,,,,,,,,,,,,,,,,
