LAKE-EIGIAU-DAM-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH724647,Long,-3.9100872,Lat,53.164082,Elevation,1245,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,9.49,,,2.12,5.9,10.25,7.87,11.88,8.15,3.79,9.22,7.69,10.76,9.98,9.98,9.55,7.05,6.83,9.01,8.57,15.23,2.17,
February,,,,,,,,,8.03,12.8,,6.98,6.95,4.68,11.73,11.57,8.28,2.04,13.69,4,7.91,0.95,11.55,13.63,1.85,9.43,6.04,4.81,8.57,1.69,
March,,,,,,,,,9.97,11.2,,3.27,11.32,8.02,12.52,2.31,4.18,4.54,4,9.27,9.98,10.39,6.59,3.98,1.38,3.17,2.54,11.68,6.09,1.03,
April,,,,,,,,,4,8.5,,5.03,1.29,9.5,2.79,4.29,10.4,4.45,2.35,6.85,13.49,3.09,6.91,5.54,5.7,5.43,4.51,4.02,2.41,2.08,
May,,,,,,,,,6.14,3.7,,3.85,2.17,4.65,7.14,2.92,5.38,4.57,6.14,3.16,9.42,4.03,2.22,6.82,9.17,6.24,7.32,2.57,2.41,4.51,
June,,,,,,,,,5.32,,,9.74,7.37,5.91,4.4,1.05,4.68,3.13,4.44,5.84,5.03,0.91,3.9,2.13,4.11,0.23,6.25,7.79,9.2,2.36,
July,,,,,,,,,6.26,7.5,,2.23,9.71,2.16,6.52,6.46,4.22,2.89,6.48,3.54,15.06,4.83,8.8,2.96,7.6,3.98,7.07,5.78,2.49,4.25,
August,,,,,,,,,7.83,,,7.51,12.29,2.89,5.33,5.01,6.58,17.22,3.98,7.91,8.06,9.81,4.85,8.85,10.08,4.88,5.65,11.42,7.31,6.29,
September,,,,,,,,,10.26,15.5,,7.95,3.54,5.71,5.13,3.6,6.42,4.03,16.71,6.49,5.05,2.14,6.4,9.08,11.12,9.69,4.17,10.27,2.54,2.41,
October,,,,,,,,,3.86,20.5,,7.46,9.15,5.8,3.74,3.07,16.02,16.41,11.47,7.89,5.06,3.66,2.91,13.72,6.4,10.88,5.31,8.77,13.8,10.92,
November,,,,,,,,,12.43,,,10.41,8.33,11.53,10.98,4.5,10.03,8.87,7.47,7.4,5.14,7.26,7.22,12.29,4.19,5.27,10.39,9.25,12.9,15.1,
December,,,,,,,,,10.99,19.8,,16.33,12.32,6.2,16.16,19.31,4.59,3.5,13,17.14,8.61,12.58,17.65,10.25,13.06,6.5,2.1,2.91,6.82,15.2,
Total,,,,,,,,,94.58,99.5,,82.88,90.34,77.3,94.31,75.97,88.93,75.44,98.95,87.18,103.57,69.63,88.98,98.8,81.71,72.53,70.36,87.84,89.77,68.01,
