"WALTHAMSTOW, FERRY LANE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1229,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.32,2.17,2.77,1.13,2.69,1.70,2.80,1.53,3.56,1.07,2.30,
February,0.47,0.25,1.84,2.89,0.64,2.67,3.06,3.11,1.51,0.63,0.98,
March,1.37,1.06,1.34,2.14,0.74,0.59,0.31,2.26,1.09,0.00,1.36,
April,2.95,1.15,2.69,1.49,2.86,1.66,3.30,1.68,1.02,1.10,1.53,
May,0.52,1.03,0.57,1.92,2.80,1.39,1.47,1.39,1.84,1.35,2.82,
June,1.35,0.46,1.48,0.37,2.40,0.09,3.03,2.34,2.51,0.88,1.79,
July,3.29,0.17,3.40,2.53,3.74,3.72,2.32,2.36,1.95,1.75,1.66,
August,1.49,1.04,2.06,1.53,1.79,2.25,1.83,3.81,2.05,1.57,2.66,
September,2.89,2.13,2.25,0.99,2.45,1.86,1.13,4.61,0.64,0.35,2.90,
October,1.37,0.54,0.84,4.69,3.26,2.71,2.12,1.36,3.43,2.82,1.15,
November,0.91,1.59,1.47,1.41,2.34,1.42,4.30,2.07,2.14,5.29,4.48,
December,2.30,1.12,2.72,1.94,2.92,2.57,0.29,3.23,2.37,4.03,2.03,
Total,21.23,12.71,23.43,23.03,28.63,22.63,25.96,29.75,24.11,20.84,25.66,
Calc annual,21.23,12.71,23.43,23.03,28.63,22.63,25.96,29.75,24.11,20.84,25.66,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
