WALTHAMSTOW FERRY LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ350892,Long,-0.052832,Lat,51.585493,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.36,0.66,1.78,0.62,2.25,2.67,0.55,0.72,2.05,2.03,1.18,3.78,0.88,1.5,0.68,1.43,1.35,3.34,2.57,0.43,3.83,1.2,1.18,2.57,3.24,2.32,2.17,2.77,1.13,2.69,1.7,2.8,1.53,3.56,1.07,2.3,1.21,1.52,1.35,1.22,1.18,4.22,3.33,2.72,4.6,1.88,2.45,2.24,4.34,1.59,1.77,1.49,1.6,3.6,0.81,0.93,2.46,1.48,0.77,0.95,2.41,3.14,1.29,2.1,1.88,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.12,0.27,2.46,1.11,1.83,3.16,0.96,1.36,0.63,2.3,0.74,2.04,1.07,1.51,0.59,2.31,1.25,1.36,0.67,1.87,2.96,2.93,0.81,0.9,2.66,0.47,0.25,1.84,2.89,0.64,2.67,3.06,3.11,1.51,0.63,0.98,1.78,0.15,1.02,0.08,2.05,1.34,3.97,0.51,0.89,1.29,1.88,0.89,1.16,0.6,1.57,2.54,1.42,1.42,0.98,3.35,5.02,0.69,1.39,2.33,1.55,0.44,2.77,2.11,0.04,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.39,2.98,3.44,1.13,0.38,0.65,1.97,1.86,1.93,1.84,2.84,0.97,0.92,2.09,2.42,0.84,1.64,2.48,1.79,3.9,0.8,3.92,1.65,0.81,2.94,1.37,1.06,1.34,2.14,0.74,0.59,0.31,2.26,1.09,0,1.36,0.14,1.15,2.09,1.77,0.45,1.1,2.57,0.36,1.28,3.31,2.7,2.01,0.38,0.1,0.66,1.06,5.1,0.6,0.82,0.54,3.21,2.73,0.33,1.96,1,0.81,0.87,1.09,1.65,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.01,0.53,1.65,1.22,2.44,0.76,1.99,0.42,1.93,0.99,1.96,0.59,3.26,2.62,1.93,1.6,1.52,0.02,2.47,0.63,0.89,0.96,1.91,2.93,3.06,2.95,1.15,2.69,1.49,2.86,1.66,3.3,1.68,1.02,1.1,1.53,3.2,2.11,0.7,1.82,2.93,1.34,2.69,0.05,2.74,1.31,1.47,0.94,1.41,1.26,0.9,1.42,1.57,1.47,1.42,1.81,2.74,1,2.17,0.27,0.31,1.1,0.12,1.47,1.76,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.32,0.25,1.3,2.16,1.2,1,1.22,2.51,1.82,2.02,0.75,1.33,1.9,1.54,1.62,2.05,1.03,1.04,1.4,1.79,3.07,1.67,2.18,2.47,0.52,0.52,1.03,0.57,1.92,2.8,1.39,1.47,1.39,1.84,1.35,2.82,2.54,2.79,1.43,0.51,1.11,0.31,3.11,1.71,1.34,1.82,1.69,2.44,1.47,0.64,3.4,2.76,0.72,3.2,1.66,1.56,1.9,0.81,1.02,1.77,4.19,0.57,1.31,2.34,0.68,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.29,2.49,1.91,1.04,1.28,1.77,1.06,3.03,5.78,0.71,3.69,2.15,2.02,1.91,4.17,2.29,2.41,2.95,0.34,1.57,1.89,1.99,2.61,0.72,1.48,1.35,0.46,1.48,0.37,2.4,0.09,3.03,2.34,2.51,0.88,1.79,1.04,0.61,3.45,1.01,3.31,3.48,2.31,0.39,1.19,0.61,1.37,0.21,1.2,1.72,1.67,2.97,2.67,1.8,0.63,1.2,0.75,1.51,1,3.53,1.94,2.31,0.7,5.77,0.72,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.06,1.44,1.24,0.99,1.53,1.3,2.8,1.16,6.14,1.75,0.81,0.47,2.69,3.32,3.04,1.86,0.49,1.47,2.15,1.13,3.88,1.54,3.7,5.87,1.4,3.29,0.17,3.4,2.53,3.74,3.72,2.32,2.36,1.95,1.75,1.66,2.24,2.16,0.85,1.36,0.99,2.52,1.5,1.19,2.11,2.81,2.91,1.26,1.7,1.4,2.5,2.22,1.36,0.84,2.29,2.89,1.38,0.55,3.35,2.49,0.34,4.07,3.5,1.89,1.13,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.7,1.65,2.65,1.13,0.5,2.7,1.62,4.81,4.18,1.68,2.53,0.65,1.72,2.59,1.56,2.02,0.7,3.9,1.68,1.37,1.72,4.9,3.67,1.39,2.19,1.49,1.04,2.06,1.53,1.79,2.25,1.83,3.81,2.05,1.57,2.66,5.11,2.52,0.41,1.92,1.72,0.36,2.95,1.32,3.31,0.06,4.29,1.41,1.35,2.21,1.15,3.43,0.04,3.08,1.19,1.89,3.83,2.41,1.62,3.32,1.09,4.56,1.69,2.8,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.01,5.37,3.03,0.39,2.54,0.65,1.8,1.2,2.77,1.31,2.14,1.76,0.75,1.28,2.63,0.64,1.24,2.03,1.49,0.85,1.61,1.12,1.75,4.86,1.19,2.89,2.13,2.25,0.99,2.45,1.86,1.13,4.61,0.64,0.35,2.9,2.2,2.25,2.84,1.09,3.15,2.18,1.51,3.09,1.41,0.95,0.64,1.08,1.66,2.84,1.31,2.7,1.31,1.29,0.24,2,2.82,2.97,1.58,1.53,1.69,2.29,1.93,3.47,0.04,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,2.8,3.19,0.6,2.94,2.09,1.81,2.18,1.25,5.62,1.42,1.23,3.16,2.44,1.87,3.69,1.9,2.68,1.77,3.29,1.09,1.69,3.02,3.06,1.09,0.63,1.37,0.54,0.84,4.69,3.26,2.71,2.12,1.36,3.43,2.82,1.15,0.58,4.81,1.3,0.92,3.18,1.75,2.14,2.54,6.14,2.6,0.56,3.77,2.19,3.07,1.92,1.41,0.13,1.65,4.98,0.36,0.79,2.33,3.09,2.1,2.63,2.02,1.73,2.11,1.6,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,3.14,1.14,1.01,1.73,3.89,1.94,0.73,1.59,1.68,1.78,2.63,3.76,2.13,0.68,0.77,3.08,3.01,1.38,2.31,2.54,2.31,4.26,1.48,1.86,1.38,0.91,1.59,1.47,1.41,2.34,1.42,4.3,2.07,2.14,5.29,4.48,1.81,1.08,0.72,1.7,3.55,3.11,1.39,3.11,4.57,6.15,2.25,2.01,1.26,3.4,0.24,3.72,0.9,2.03,2.06,4.54,4.51,3.54,0.81,3.11,0.59,0.35,1.87,1.61,2.58,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,2.15,3.53,2.32,2.41,1.12,2.42,2.75,1.38,1.26,1.74,0.71,1.9,3.32,1.67,2.48,2.99,3.88,2.31,0.72,5.34,5.39,2.36,0.83,2.3,3.35,2.3,1.12,2.72,1.94,2.92,2.57,0.29,3.23,2.37,4.03,2.03,0.78,0.49,0.28,4.73,2.59,1.84,3.33,3.17,0.97,1.03,1.96,2.28,1.38,1.06,2.53,1.84,2.2,2.29,1.39,1.45,1.57,2.04,0.55,1.59,1.64,2.49,1.43,2.69,3.11,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,19.35,23.5,23.39,16.87,21.05,20.83,19.63,21.29,35.79,19.57,21.21,22.56,23.1,22.58,25.58,23.01,21.2,24.05,20.88,22.51,30.04,29.87,24.83,27.77,24.04,21.23,12.71,23.43,23.03,28.63,22.63,25.96,29.75,24.11,20.84,25.66,22.63,21.64,16.44,18.13,26.21,23.55,30.8,20.16,30.55,23.82,24.17,20.54,19.5,19.89,19.62,27.56,19.02,23.27,18.47,22.52,30.98,22.06,17.68,24.95,19.38,24.15,19.21,29.45,16.69,28.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1959 Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
