WIGTON AIKBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY215457,Long,-3.2216,Lat,54.8004,Elevation,203,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,1.6,1.39,2.59,0.68,6.5,3.77,3.29,2.78,3.27,3.12,2.56,1.4,6.1,2.93,4.89,1.38,3.84,3.96,1.89,,,,,,,,,
February,,,1.41,4.1,4.26,3.5,2.5,0.65,2.72,2.38,0.88,3.95,3.43,3.01,1.7,3.4,2.67,4.77,1.59,2.97,1.35,,,,,,,,,
March,,,2.35,2.41,1.43,3.26,0.93,1.44,1.4,1.27,2.37,4.9,1.61,1.73,2.54,2.77,0.73,0.97,0.27,0.64,5.12,,,,,,,,,
April,,,3.58,0.9,3.36,2.5,1.56,1.64,1.67,2.72,3.5,1.19,3.44,1.85,1.81,0.95,1.25,2.13,1.66,0.89,0.72,,,,,,,,,
May,,,3.07,1.62,1.95,1.34,3.51,3.76,1.15,2.36,3.56,1.26,0.39,4.61,2.19,1.75,1.74,3.07,2.94,4.55,0.64,,,,,,,,,
June,,,1.98,2.09,0.99,3.38,3.31,1.92,1.19,0.56,0.65,0.32,2.63,3.41,2.16,2.94,1.96,1.63,1.77,3.19,1.39,,,,,,,,,
July,,,3.76,1.59,2.56,1.84,5.63,4.15,4.6,3.66,1.64,5.54,6.88,0.69,1.76,3.63,3.97,4.25,3.27,2.19,5.17,,,,,,,,,
August,,,4.97,5.33,2.59,4.12,1.19,4.34,3.05,8.48,1.36,0.86,3.37,3.79,4.32,2.31,6.89,3.18,3.82,7.39,3.05,,,,,,,,,
September,,,5.84,1.62,3.21,0.67,3.03,5.67,3.35,5.23,4.66,4.46,2.6,3.17,2.02,3.01,4.87,6.41,2.1,4.04,1.25,,,,,,,,,
October,,,2.62,2.43,4.81,6.22,3.56,3.24,3.78,4.77,5.24,5.32,5.2,2.16,5.7,0.23,1.64,4.16,5.16,0.56,3.03,,,,,,,,,
November,,,1.78,2.03,2.68,6.83,1.99,3.53,2.85,3.91,4.81,2.39,0.5,2.72,2.03,0.55,5.42,3.89,3.48,1.52,2.98,,,,,,,,,
December,,,4.49,2.99,2.86,6.02,1.63,4.46,1.73,0.24,1.93,3.91,3.26,3.19,1.46,4.87,5.18,2.74,1.89,5.49,3.77,,,,,,,,,
Total,29.8,33.8,37.45,28.5,33.29,40.36,35.34,38.57,30.78,38.36,33.87,37.22,35.87,31.73,33.79,29.34,41.21,38.58,31.79,37.39,30.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR for modern Aikbank Farm, unnamed on earlier maps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
