SARK-PARSONAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,WV465757 ,Long,-2.35854,Lat,49.43234,Elevation,340,ft,,,,,,,,,,,,
Station no,RR462,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.48,4.38,3.32,2.78,2.88,4.46,4.95,4.86,1.62,4.07,0.94,,,
February,,,,,,,3.64,1.87,1.24,1.91,1.65,1.57,2.37,3.65,1.91,2.75,3.14,,,
March,,,,,,,1.96,4.7,1.24,2.61,2.15,0.98,3.05,3.46,1.11,0.45,4.02,,,
April,,,,,,,2,2.08,2.23,1.93,0.66,3.2,1.94,0.53,2.89,0.94,2.13,,,
May,,,,,,,1.51,1.57,1.79,4.34,1.43,0.63,3.71,1.67,0.5,1.28,0.34,,,
June,,,,,,,1.5,0.73,0.43,1.48,0.18,2.65,2.48,1.72,0.89,2.28,0.6,,,
July,,,,,,,1.54,5.74,0.61,0.26,1.12,3.83,4.14,2.35,1.64,3.15,0.66,,,
August,,,,,,,2.7,1.26,3.28,0.49,1.51,1.02,1.13,4.62,1.62,1.78,2.71,,,
September,,,,,,0.35,7.2,0.94,2.66,2.91,1.69,4.97,2.05,2.09,1.94,2.46,3.5,,,
October,,,,,,8.53,0.88,4.04,3.61,2.31,5.2,4.12,7.71,3.29,5.21,6.25,2.51,,,
November,,,,,,5.09,2.12,1.39,2.24,2.64,2.62,1.32,7.56,3.42,2.86,6.5,4.62,,,
December,,,,,,1.81,2.73,1.98,5.73,4.92,3.24,2.57,6.08,1.59,5.39,1.99,9.09,,,
Total,,,,,,,31.26,30.68,28.38,28.58,24.33,31.32,47.17,33.25,27.58,33.9,34.26,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Now called The Vicarage,,,,,,,,,,,,,,,,,,,,
