LEATHERHEAD-DUNARD-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ170558,Long,-0.32353659,Lat,51.289325,Elevation,233,ft.,,,,,,,,,,,,,
Station no,131,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.69,4.08,1.81,3.17,2.3,2.26,1.1,5.69,,,,
February,,,,,,,,,,0.51,0.96,1.94,0.45,3.91,0.31,3.72,2.31,,,,
March,,,,,,,,,,0.04,1.65,0.46,1.83,3.53,2.82,0.51,1.47,,,,
April,,,,,,,,,,0.8,1.62,4.47,2.78,0.57,2.43,,1.82,,,,
May,,,,,,,,,,1.8,2.36,2.48,4.39,2.98,0.64,,0.55,,,,
June,,,,,,,,,,1.31,0.48,1.51,1.41,1.51,1.02,3.98,2.92,,,,
July,,,,,,,,,,1.52,2.37,3.38,2.38,1.9,1.98,0.96,4.3,,,,
August,,,,,,,,,,1.78,3.72,4.58,0.44,0.82,1.93,3.15,2.5,,,,
September,,,,,,,,,,0.19,3.93,2.49,1.96,2.72,1.64,3.86,2.68,,,,
October,,,,,,,,,,3.49,1.12,0.69,5.84,1.87,1.86,3.77,1.96,,,,
November,,,,,,,,,,7.37,4.7,3.46,1.33,1.31,2.63,6.71,4.15,,,,
December,,,,,,,,,,7.74,2.52,0.61,0.71,0.55,7.73,4.24,3.35,,,,
Total,,,,,,,,,,28.24,29.51,27.88,26.69,23.97,27.25,,33.7,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Dunard Lodge. Altitudes mact.,,,,,,,,,,,,,,,,,,,,,
