BATH-BROCKHAM-END,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST715696,Long,-2.41033,Lat,51.42519,Elevation,720,ft,,,,,,,,,,,,,
Station no,1991,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.23,2.99,4.47,2.73,4.35,1.17,4.21,1.84,2.72,,2.16,0.71,3.42,3.47,2.78,4.11,
February,,,,6.82,0.24,4.06,2.24,3.19,2.37,0.75,0.66,1.8,0.05,,0.17,2.35,2.69,4.24,1.01,1.56,
March,,,,1.46,1.36,0.64,0.56,2.25,3.21,0.21,2.1,0.53,2.3,,2.54,0.94,2.1,3.56,0.16,1.75,
April,,,,2.71,2.63,2.26,3.4,1.31,1.45,0.92,2.21,2.01,3.15,,2.75,4.19,2.36,3.08,0.12,1.97,
May,,,,1.71,4.33,4.44,2.15,1.09,0.83,2.1,2.08,3.43,6.87,,1.14,1.78,0.78,2.55,2.12,2.97,
June,,,,0.66,2.79,0.01,2.16,2.83,2.12,1.4,1.01,3.26,1.33,,1.49,6.12,2.53,1.3,1.23,2.17,
July,,,,1.19,4.52,3.49,3.13,3.98,4.17,1.51,3.04,5.07,3.45,,1.38,0.85,6.23,3.45,3.94,5.32,
August,,,,2.79,4.27,2.44,2.43,5.12,1.51,3.29,3.91,4.62,0.96,,2.39,2.4,0.47,1.33,3.29,3.1,
September,,,,2.89,3.37,3.34,1.56,6.55,1.25,0.55,4.22,2.25,5.01,,2.03,5.83,3.29,2.52,2.65,1.71,
October,,,,4.33,5.72,3.34,4.98,2.09,5.31,5.42,2.36,0.86,6.84,,1.91,4.5,1.45,3.64,4.62,3.65,
November,,,,2.13,2.66,2.19,6.24,3.64,2.64,6.81,4.51,4.01,1.65,,1.59,5.37,2.73,1.61,3.54,5.11,
December,,,,3.18,4.19,3.83,0.54,2.72,2.98,5.29,3.31,1.4,1.2,,6.02,4.24,2.63,2.07,3.67,2.19,
Total,,,,,40.31,33.03,33.86,37.5,32.19,29.42,33.62,31.08,35.53,,25.57,39.28,30.68,32.82,29.13,35.61,
,,,,,,,,,,,,,,,,,,,,,
Site sheltered by Lansdown Plateau which inclines sharply 60ft away No better site available,,,,,,,,,,,,,,,,,,,,,
1923 Jan part estimated,,,,,,,,,,,,,,,,,,,,,
1940 No return Site terminated 1941,,,,,,,,,,,,,,,,,,,,,
