BURTON-ON-TRENT,,,,,,,,,,,,,,,,,,,,
Grid ref,SK251230,Long,-1.6291248,Lat,52.803975,Elevation,152,ft.,,,,,,,,,,,,
Station no,RR4239,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.23,1.23,1.82,1.32,2.9,1.64,1.23,3.54,2.01,1.75,2.73,,,,
February,,,,,,1.46,1.26,1.09,1.59,2.09,1.5,1.18,2.55,0.8,1.58,0.77,,,,
March,,,,,,1,1.21,1.73,1.43,1.43,1.37,1.14,1.92,2.05,1.27,0.47,,,,
April,,,,,,0.64,0.46,2.09,1.3,2.26,0.88,3.72,2.86,0.41,1.31,0.7,,,,
May,,,,,,2.52,1.3,1.42,1.1,4.31,0.61,1.99,2.11,2.23,1.82,1.73,,,,
June,,,,,,1.78,3.77,1.79,0.43,1.25,0.99,3.24,5.3,3.65,1.49,2.96,,,,
July,,,,,,3.14,1.79,1.91,0.28,0.7,1.45,4.06,3.04,2.09,1.21,5.89,,,,
August,,,,,,3.98,4.09,2.75,3.23,1.14,1.69,0.84,3.8,3.87,2.47,2.34,,,,
September,,,,,,0.17,5.22,1.79,2.33,4.74,0.89,4.72,2.17,1.56,2.96,3.67,,,,
October,,,,,,5.73,1.96,2.59,2.77,0.61,4.63,1.95,4.75,1.96,1.7,5.67,,,,
November,,,,,,1.69,2.15,0.74,1.66,2.48,1.8,1.2,2.38,1.34,2.45,3.93,,,,
December,,,,,,0.44,1.43,1.07,6.67,4.23,2.2,1.14,4.09,0.26,2.26,1.26,,,,
Total,,,,,,24.78,25.87,20.79,24.11,28.14,19.65,26.41,38.51,22.23,22.27,32.12,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is 61 High St. where a John Matthews, the name of the observer, lived in 1871. Altitudes match.",,,,,,,,,,,,,,,,,,,,
