"DYCE, PARKHILL HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ898140,Long,-2.170524,Lat,57.21664,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,0.87,1.76,2.05,1.4,1.55,2.07,1.43,3.52,3.52,1.35,3.57,0.87,3.03,2.82,4.28,1.64,1.33,4.84,2.65,2.3,1.59,3.92,1.98,3.97,2.44,1.98,3.21,1.94,1.87,1.67,2.11,5.94,,,,
February,,,,,,2.14,2.13,1.65,1.05,0.89,2.82,1.08,2.92,0.66,2.08,4.7,2.46,1.37,1.27,2.29,1.1,0.75,2.4,7.3,2.01,4.82,4.52,1.95,0.62,2.2,1.67,2.85,0.45,3.96,0.8,1.81,2.35,,,,
March,,,,,,3.69,1.91,1.27,4.11,6.26,1.47,1.89,3.11,3.29,3.13,2.13,2.54,2.34,1.57,2,2.74,2.39,2.26,1.63,1.54,2.06,1.19,2.36,3.56,0.34,1.4,1.3,4.29,2.84,1.53,2.53,1.6,,,,
April,,,,,,3.13,1.59,1.35,1.71,3.14,2.76,1.44,0.45,2.47,0.69,1.26,2.78,1.64,0.4,3.38,2.49,0.98,3.17,2.34,1.67,2.7,2.81,2.39,2.45,1.87,3.33,2.04,4.01,1.74,7.42,4.52,0.78,,,,
May,,,,,,1.9,4.57,2.86,1.8,2.53,2.65,2.43,2.74,4.27,2.59,0.72,3.26,1.81,2.35,1.01,4.15,1.48,1.09,5.58,6.05,3.06,1.9,2.94,1.87,1.96,1.12,4.1,2.66,1.24,3.77,1.79,1.06,,,,
June,,,,,,1.01,0.66,5.12,1.85,1.47,0.78,2.45,2,1.47,0.67,1.39,4.79,1.27,1.51,1.65,0.62,1.17,2.85,0.99,1.76,1.1,1.93,2.79,3.41,1.82,1.77,3.44,0.96,1.08,0.55,3.23,,,,,
July,,,,,,3.75,1.48,1.66,2.57,4.43,1.97,1.64,2.2,1.58,4.23,4.96,3.35,2.68,5.85,0.97,3.23,1.65,4.46,2.28,6.04,3.12,2.3,2.5,1.87,4.18,1.53,2.86,3.45,3.83,2.79,2.21,,,,,
August,,,,,,3.88,4.31,2.92,1.97,2.67,3.55,0.88,5.83,1.1,1.38,1.54,3.6,3.74,3.06,3.43,2.1,2.32,2.44,4.54,2.4,1.22,1.2,2.14,3.52,2.88,6.79,2.33,2.72,1.04,4.84,2.28,,,,,
September,,,,,,2.25,1.22,1.13,3.69,1.99,1.23,0.79,2.51,2.77,1.51,3.23,1.37,1.7,4.83,3.02,2.24,1.35,3.37,3.26,4.88,2.69,4.37,6.88,3.05,1.2,6.25,1.52,4.12,1.69,2.88,4.72,2.89,,,,
October,,,,,,4.26,4.95,5.96,2.57,2.32,1.76,2.76,4.27,1.15,2.49,3.53,5.09,3.51,2.25,3.5,3.76,1.57,1.93,3.77,3.04,2.85,5.38,4.26,2.35,3.67,3.56,1.69,7.75,5.19,3.77,4.49,1.49,,,,
November,,,,,,7.61,4.6,2.15,1.23,2.05,5.36,4.72,3.01,1.8,4.26,3.22,3.85,3.78,2.23,5.21,1.97,2.01,2.02,3.63,3.06,2.54,5.02,4.33,4.17,3.49,3.9,4.31,1.37,4.14,2.83,5.35,1.45,,,,
December,,,,,,1.05,2.92,3.26,5.61,4,3.65,5.64,1.18,1.76,5.27,8,4.75,1.24,2.66,5.93,4.38,1.68,2.3,4.59,3.4,2.54,1.2,3.08,2.85,7.49,4.39,1.59,1.65,2.64,5.75,3.91,1.63,,,,
Total,,,,,,35.54,32.1,31.38,29.56,33.3,30.07,27.15,33.74,25.84,29.65,38.25,38.71,28.11,30.8,36.67,30.42,18.68,33.13,42.56,38.15,30.29,35.74,37.6,33.69,33.54,37.69,31.24,35.37,31.26,38.6,38.95,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
