"DYCE, PARKHILL HOUSE",,,,,,,,,,,,
Grid ref,NJ898140,Long,-2.170524,Lat,57.216640,,,,,,,
Station no,5648,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.87,1.76,2.05,1.40,1.55,,
February,,,,,,2.14,2.13,1.65,1.05,0.89,,
March,,,,,,3.69,1.91,1.27,4.11,6.26,,
April,,,,,,3.13,1.59,1.35,1.71,3.14,,
May,,,,,,1.90,4.57,2.86,1.80,2.53,,
June,,,,,,1.01,0.66,5.12,1.85,1.47,,
July,,,,,,3.75,1.48,1.66,2.57,4.43,,
August,,,,,,3.88,4.31,2.92,1.97,2.67,,
September,,,,,,2.25,1.22,1.13,3.69,1.99,,
October,,,,,,4.26,4.95,5.96,2.57,2.32,,
November,,,,,,7.61,4.60,2.15,1.23,2.05,,
December,,,,,,1.05,2.92,3.26,5.61,4.00,,
Total,,,,,,35.54,32.10,31.38,29.56,33.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,35.54,32.10,31.38,29.56,33.30,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,,
