"GLEN LATTERACH (FILTER STATION)",,,,,,,,,,,,
Grid ref,NJ200546,Long,-3.339262,Lat,57.574351,,,,,,,
Station no,5676/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.22,,
February,,,,,,,,,,2.09,,
March,,,,,,,,,,1.05,,
April,,,,,,,,,,1.95,,
May,,,,,,,,,,0.67,,
June,,,,,,,,,,4.18,,
July,,,,,,,,,,3.27,,
August,,,,,,,,,,9.07,,
September,,,,,,,,,0.92,2.77,,
October,,,,,,,,,3.30,5.01,,
November,,,,,,,,,3.41,1.78,,
December,,,,,,,,,1.43,0.99,,
Total,,,,,,,,,,36.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.06,36.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
