HIGH-SALVINGTON-HAYLING-RISE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ122064,Long,-0.4076523,Lat,50.846252,Elevation,210,ft,,,,,,,,,,,,
Station no,476/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.91,4.69,5.86,4.31,5.75,3.2,3.68,3.26,6.43,2.47,1.88,2.6,2.92,,,
February,,,,,4.15,2.84,5.54,0.9,1.61,3.23,3.43,0.71,1.63,0.9,2.34,3.56,2.43,,,
March,,,,,0.57,1.93,4.02,0.52,1.59,3.88,3.07,3.21,0.53,0.21,1.48,1.37,7.4,,,
April,,,,,4.09,2.16,2.72,0.35,2.92,1.21,1.18,1.06,1.34,1.47,0.84,1.65,1.6,,,
May,,,,,1.57,0.48,2.08,1.93,1.73,1.08,2.28,2.98,2.43,0.68,2.14,3.15,1.57,,,
June,,,,,2.81,2.83,0.82,0.54,1.2,0.65,2.06,0.25,1.34,1.91,1.95,3.29,2.74,,,
July,,,,,0.44,4.2,1.82,2.1,2.24,2.64,2.72,1.86,2.54,2.37,4.88,1.94,1.24,,,
August,,,,,4.25,0.54,1.26,1.53,3.2,0.09,3.79,3.91,1.44,1.96,2.01,6.29,0.67,,,
September,,,,,5.21,2.3,2,2.85,1.3,2.14,0.38,2.55,1.25,2.01,2.18,3.61,1.56,,,
October,,,,,5.51,1.78,3.06,3.92,7.2,4.25,0.87,4.55,2.91,4.47,2.8,0.61,0.6,,,
November,,,,,7.36,4.9,1.65,3.82,7.91,8.14,3.65,1.94,2.14,5.27,0.33,4.79,1.71,,,
December,,,,,5.53,2.66,4.43,3.95,2.21,2.9,2.3,3.17,2.41,2.19,4.82,3.69,2.59,,,
Total,,,,,42.4,31.31,35.26,26.72,38.86,33.41,29.41,29.45,26.39,25.91,27.65,36.55,27.03,,,
