CULLOMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST020073,Long,-3.393693,Lat,50.856881,Elevation,202,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,2.23,1.85,3.57,4.08,2.84,5.98,3.31,1.42,0.92,4.53,2.76,2.62,2.61,3.51,4.76,0.82,2.56,1.1,5.84,4.86,3.85,1.79,3.97,4.32,1.31,6.9,1.52,1.38,1.77,5.03,1.23,4.95,7.07,0.86,4.72,1.73,1.3,5.44,6,5.33,2.71,4.6,2.51,4.91,3.48,6.16,5.5,6.38,1.83,6.11,3.51,3.59,1.9,2.62,0.84,4.92,7.41,5.09,6.98,2.44,4.31,5.02,8.24,2.92,3.26,4.13,5.05,7.86,0.97,0.85,3.62,4.19,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.64,2,6.08,3.71,4.4,1.32,0.32,0.61,3.2,1.41,0.07,2.92,4.89,2.6,0.11,0.51,4.14,2.7,4.59,4.61,1.31,2.07,1.8,5.63,1.23,3.56,1.79,2.43,0.59,5.35,2.34,3.72,0.94,3.86,5.91,6.88,1.71,1.82,3.58,0.78,0.26,3.74,8.6,0.7,5.32,2.95,4.38,3.5,1.88,1.24,3.12,0.03,4.45,0.41,4.7,3.13,6.69,1.28,1.79,3.76,3.68,0.32,1.73,0.94,2.86,3.54,1.44,2.07,1.57,6.13,5.05,1.17,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,3.56,1.17,1.53,3.77,1.41,2.9,1.55,4.09,2.99,1.7,1.85,0.88,0.44,2.05,3.03,3.97,4.53,2.13,0.53,1.6,3.21,2.31,3.98,2.26,4.8,2.27,0.88,3.25,5.34,0.89,2.35,7.38,4.16,6.6,0.87,3.7,4.13,1.82,4.99,4.16,2.18,2.96,1.5,2.07,0.52,0.69,4.69,3.75,0.25,2.93,1.68,2.6,3.59,2.72,1.3,3.97,4.96,0.17,1.29,2.9,3.2,3.29,1.31,0.21,0.58,1.64,6.51,1.21,1.65,2.08,4.4,3.65,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.44,5.17,1.34,2.16,3.3,2.4,1.37,1.54,2.74,3.76,1.42,1.24,0.17,2.63,2,0.47,3.29,2.07,3.65,1.97,3.57,1.63,2.51,1.24,2.6,0.9,4.66,2.54,2.94,2.93,2.41,0.3,4.19,1.77,1.25,1.43,1.68,2.1,2.6,4.8,0.67,3.28,2.72,3.72,3.54,2.24,2.12,1.28,1.03,3.88,3.3,3.15,2.16,3.44,4.73,2.42,3.43,0.22,2.58,2.81,1.26,1.63,0.96,2.36,0.86,2.34,1.95,3.23,1.82,2.76,2.27,2.91,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.7,1.88,1.49,1.27,3.17,3.83,1.83,1.84,2.86,2.57,2.94,0.95,2.31,2.56,0.71,0.05,1.41,4.18,2.81,2.02,0.69,2.35,3.48,2.77,0.29,3.08,2.64,1.94,1.35,3.46,1.72,2.2,3.65,2.01,2.01,2.94,2,1.43,0.81,1.84,2.26,0.97,1.41,4.18,4.87,1.91,0.6,1.87,2.67,1.86,3.25,3.73,2.34,1.66,2.06,0.65,2.41,2.52,0.6,1.23,1.8,5.75,2.48,1.23,3.73,4.64,3.19,4.01,2.71,1.99,2.66,2.78,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.3,3.98,1.93,2.57,2.43,0.64,0.11,3.43,0.09,2.84,1.43,1.34,0.92,1.73,1.78,2.19,2.5,1.75,1.9,2.82,2.64,2.69,2.6,0.82,3.28,1.93,2.45,0.68,2.83,2.26,2.22,5.34,0.89,1.95,2,2.77,3.22,1.11,0.89,2.49,1.03,1.02,0.52,3.61,0.2,3.04,2.76,2.66,2.4,0.5,3.01,1.73,1.93,1.9,3.66,1.77,0.75,1.33,3.17,0.96,1.2,0.82,2.13,2.26,3.36,5.71,2.65,2.61,0.93,1.33,1.17,1.36,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.83,2.6,4.02,3.55,2.94,0.53,3.15,1.42,7.21,3.47,2.95,3.09,2.66,5.67,5.81,2.94,1.92,1.45,0.23,2.39,1.31,1.43,2.03,3.58,5.82,0.48,0.77,1.21,1.33,2.85,2.8,0.3,3.03,0.68,4.09,4.61,1.2,2.5,4.36,1.46,5.25,0.75,3.26,1.45,4.75,3.13,1.21,3.27,2.06,1.38,1.89,4.3,2.83,3.05,1.96,0.61,6.29,2.53,2.91,6.53,3.83,1.39,1.43,2.78,2.18,2.63,1.55,1.65,1.71,2.12,5.49,1.26,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,0.32,6.07,3.59,1.82,1.87,1.8,2.06,1.29,2.18,3.72,3.4,6.26,3.88,1.45,3.24,3.51,1.37,5.85,1.91,2.26,2.49,1.57,3.13,3.27,2.35,5.07,2.07,2.3,2.88,2.18,5.23,2.67,7.09,1.95,3.19,2.53,5.68,5.65,3.37,3.49,1.34,1.64,4.42,2.85,4.23,2.84,3.02,2.67,1.72,3.21,4.12,4.07,1.92,1.29,3,2.13,0.28,0.99,4.09,3,0.26,4.04,3.87,2.78,3.44,2.07,4.66,0.81,3.92,2.35,5.74,5,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.96,2.07,3.84,6.12,1.65,5.31,2.06,2.87,0.9,1.55,0.99,1.95,2.64,2.08,2.23,1.32,5.61,3.99,1.39,2.3,0.93,2.7,2.22,3.78,2.72,1.59,1.22,0.65,2.45,1.96,0.35,1.59,1.57,1.94,2.32,0.97,2.97,1.91,7.46,2.13,1.81,0.94,3.35,2.96,5.6,5.04,1.71,5.15,1.2,0.89,4.99,1.36,5.34,1.44,3.05,4.18,3.06,2.71,1.58,1,2.06,0.8,2.98,3.16,2.69,2.47,4.81,2.19,1.58,4.93,4.78,4,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.11,2.19,7.29,3.54,0.96,5.45,5.82,4.16,1.37,4.64,1.6,7.89,4.57,2.89,4.93,3.94,2.99,1.66,5.32,2.24,3.17,2.58,2.85,7.21,1.57,2.69,4.71,6.78,3.09,6.07,6.35,4.37,5.24,5.62,3.71,4.77,6.56,5.42,1.98,2.75,3.63,0.81,1.25,5.25,5.33,3.59,2.89,2.31,4.74,5.92,4.39,0.62,7.48,3.18,2.93,4.15,1.81,3.65,3.48,4.23,4.18,1.76,2.6,4.15,5.19,4.57,1.59,0.7,3.02,5.98,2.06,1.32,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
