HARRIS (KYLES LODGE),,,,,,,,,,,,
Grid ref,NF997878,Long,-7.053687,Lat,57.778877,,,,,,,
Station no,5765/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.03,9.07,3.95,8.49,5.77,4.73,6.08,6.65,5.92,4.01,,
February,3.58,3.66,4.76,5.78,4.34,2.46,3.66,4.15,2.04,3.29,,
March,3.98,6.01,2.30,5.30,3.24,1.75,5.19,1.30,3.06,1.94,,
April,3.90,3.17,5.33,1.97,3.04,1.88,2.54,2.25,5.43,3.49,,
May,0.64,3.08,2.33,2.75,3.60,4.65,1.91,4.63,1.00,2.35,,
June,2.86,4.93,2.61,4.61,3.78,2.75,3.08,2.28,3.37,2.37,,
July,7.11,3.04,6.70,4.64,0.78,5.29,2.58,1.67,5.04,3.40,,
August,5.99,4.24,5.10,4.07,1.89,3.73,4.75,4.27,3.42,3.73,,
September,5.05,4.78,4.15,5.72,6.28,3.97,3.10,3.57,3.24,3.58,,
October,7.84,7.29,8.71,8.24,7.21,4.80,6.14,3.73,-999.00,4.94,,
November,8.34,5.10,11.00,11.07,5.12,5.64,3.13,3.14,7.71,6.03,,
December,10.66,7.83,6.46,7.89,8.21,5.00,5.60,4.06,5.79,6.65,,
Total,67.98,62.20,63.40,70.53,53.26,46.65,47.76,41.70,51.81,45.78,,
Calc annual,67.98,62.20,63.40,70.53,53.26,46.65,47.76,41.70,46.02,45.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,5.79,0.00,,
