LOCH SLOY (BEINN IME 'SOUTH'),,,,,,,,,,,,,,,,,,,,
Grid ref,NN270082,Long,-4.792738,Lat,56.234767,Elevation,1322,ft,,,,,,,,,,,,
Station no,5437/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.27,16.69,15.12,10.6,13,8.39,11.11,12.5,8.96,,18.79,18.7,6.38,9.8
February,,,,,,,1.75,12.78,15.65,13.15,7.35,5.75,10.74,10.33,6.1,,10.71,8.96,7.5,13.96
March,,,,,,,7.25,14.83,6.4,9.3,6.75,11.69,4.02,10.47,3.59,,15.38,4.46,12.26,4.81
April,,,,,,,20.9,9.33,15.8,8.85,9.01,7.54,7.3,6.26,11.08,,6.68,6.58,10.34,12.61
May,,,,,,,7.05,6.54,6.75,3.15,2.83,3.5,6.67,6.75,7.31,,6.64,10.65,3.37,6.42
June,,,,,,11.77,8.7,10.48,3.3,6.5,4.32,9.74,3.05,10.21,8.24,,6.58,6.11,6.74,7.84
July,,,,,,9.81,8.9,11.32,5.85,15.6,9.92,9.05,13.83,9.34,2.4,,13.5,8.77,12.67,12.33
August,,,,,,10.8,0.15,16.2,9.75,15.85,12.88,10.01,11.24,12.68,3.25,,13.8,15.17,7.03,6.93
September,,,,,,17.35,11.25,17.68,6.95,26.2,11.34,7.06,17.69,19.04,14.32,,13.02,15.5,3.93,6.26
October,,,,,,1.05,6.82,23.96,17.8,16.35,4.8,12.48,11.31,20.64,13.27,,17.58,15.26,12.33,7.28
November,,,,,,12.05,17.15,8.25,14.2,7.25,19.36,3.57,23.22,22.17,7.86,,8.42,7.87,14.5,15.43
December,,,,,,15.7,5.76,19.8,20.25,5.78,19.57,11.45,13.47,25.07,22.78,,17,14.51,22.63,17.56
Total,,,,,,,106.95,167.86,137.82,138.58,121.13,100.23,133.65,165.46,109.16,,148.1,132.54,119.68,121.23
,,,,,,,,,,,,,,,,,,,,
1956 NP High,,,,,,,,,,,,,,,,,,,,
Station no,5437/4,,,,,,,,,,,,,,,,,,,
Midas,13727,,,,,,,,,,,,,,,,,,,
Hyd No,662131,,,,,,,,,,,,,,,,,,,
