"LOCH SLOY (BEINN IME 'SOUTH')",,,,,,,,,,,,
Grid ref,NN270082,Long,-4.792738,Lat,56.234767,,,,,,,
Station no,5437/4/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.00,8.39,11.11,12.50,8.96,9.08,18.79,18.70,6.38,9.80,,
February,7.35,5.75,10.74,10.33,6.10,5.57,10.71,8.96,7.50,13.96,,
March,6.75,11.69,4.02,10.47,3.59,6.17,15.38,4.46,12.26,4.81,,
April,9.01,7.54,7.30,6.26,11.08,5.08,6.68,6.58,10.34,12.61,,
May,2.83,3.50,6.67,6.75,7.31,8.68,6.64,10.65,3.37,6.42,,
June,4.32,9.74,3.05,10.21,8.24,10.65,6.58,6.11,6.74,7.84,,
July,9.92,9.05,13.83,9.34,2.40,11.57,13.50,8.77,12.67,12.33,,
August,12.88,10.01,11.24,12.68,3.25,10.75,13.80,15.17,7.03,6.93,,
September,11.34,7.06,17.69,19.04,14.32,13.46,13.02,15.50,3.93,6.26,,
October,4.80,12.48,11.31,20.64,13.27,10.61,17.58,15.26,12.33,7.28,,
November,19.36,3.57,23.22,22.17,7.86,10.65,8.42,7.87,14.50,15.43,,
December,19.57,11.45,13.47,25.07,22.78,25.06,17.00,14.51,22.63,17.56,,
Total,121.13,100.23,133.65,165.46,109.16,127.33,148.10,132.54,119.68,121.23,,
Calc annual,121.13,100.23,133.65,165.46,109.16,127.33,148.10,132.54,119.68,121.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
