SALTFORD HOUSE,,,,,,,,,,,,
Grid ref,ST683673,Long,-2.457106,Lat,51.403835,,,,,,,
Station no,RR6856,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.50,1.31,,
February,,,,,,,,,1.58,0.47,,
March,,,,,,,,,2.79,2.96,,
April,,,,,,,,,2.68,2.55,,
May,,,,,,,,,1.61,1.76,,
June,,,,,,,,,0.49,3.68,,
July,,,,,,,,,2.25,2.56,,
August,,,,,,,,,3.70,2.02,,
September,,,,,,,,,2.24,2.58,,
October,,,,,,,,,1.69,5.14,,
November,,,,,,,,,1.19,1.11,,
December,,,,,,,,,2.19,4.65,,
Total,,,,,,,,,23.91,30.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.91,30.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
