SALTFORD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST683674,Long,-2.45633,Lat,51.40488,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.5,1.31,3.44,0.99,4.37,4.76,0.83,4.21,2.39,1,3.2,4.56,4.95,3.33,,,,,,,,,
February,,,,,,,,,1.58,0.47,4.15,2.33,2.31,1.03,3.35,5.24,4.85,1.18,1.73,2.58,1.65,0.32,,,,,,,,,
March,,,,,,,,,2.79,2.96,0.71,2.71,5.4,3.91,4.23,1.09,4.31,3.15,1.22,4.89,2.53,2.19,,,,,,,,,
April,,,,,,,,,2.68,2.55,3.06,1.48,0.27,2.91,1.69,0.96,1.26,2.02,2.36,2.17,4.9,1,,,,,,,,,
May,,,,,,,,,1.61,1.76,1.46,1.04,2.02,2.15,1.22,2.58,2.88,2.71,1.99,0.58,1.97,2.11,,,,,,,,,
June,,,,,,,,,0.49,3.68,5.12,1.64,3.35,0.92,1.94,1.04,2.74,3.59,1.05,1.09,3.56,0.2,,,,,,,,,
July,,,,,,,,,2.25,2.56,1.92,0.32,4.54,0.48,2.95,4.13,1.15,2.26,5,3.07,4.72,0.72,,,,,,,,,
August,,,,,,,,,3.7,2.02,4.8,1.19,6.27,1.45,1.98,2.88,4.49,7.49,2.67,2.62,1.1,1.75,,,,,,,,,
September,,,,,,,,,2.24,2.58,0.19,1.28,0.76,2.5,1.22,1.58,1.37,2.67,7.09,1.48,1.16,2.64,,,,,,,,,
October,,,,,,,,,1.69,5.14,4.57,2.82,4.36,2.74,2.15,3.62,6.94,5.87,1.53,2.13,2.44,1.13,,,,,,,,,
November,,,,,,,,,1.19,1.11,4.09,3.99,2.17,2.78,3.73,1.81,3.49,0.81,2.21,2.4,1.85,1.88,,,,,,,,,
December,,,,,,,,,2.19,4.65,4.87,7.57,5.36,1.83,6.76,5.86,4.16,0.59,3.92,6.38,3.11,2.31,,,,,,,,,
Total,,,,,,,,,23.91,30.79,38.38,27.36,41.18,27.46,32.05,35,40.03,33.34,33.97,33.95,33.94,19.58,,,,,,,,,
