"BURBAGE (PARSON'S HOUSE)",,,,,,,,,,,,
Grid ref,SK271810,Long,-1.594596,Lat,53.325232,,,,,,,
Station no,3106/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.19,4.40,1.34,2.43,3.70,5.42,2.20,3.33,3.13,5.35,,
February,4.07,1.29,2.80,3.10,3.17,1.75,3.00,5.34,0.17,3.45,,
March,5.03,2.35,2.17,2.29,3.72,1.37,3.07,2.98,1.83,3.01,,
April,1.70,2.12,2.42,0.71,1.22,2.13,0.18,1.10,3.76,2.09,,
May,4.44,2.87,2.66,3.63,3.59,0.64,1.63,3.43,1.33,2.37,,
June,1.40,1.88,2.93,2.92,3.91,4.87,1.51,5.94,1.45,1.49,,
July,1.71,2.24,3.74,3.19,1.87,6.22,4.06,8.04,1.90,4.53,,
August,4.82,1.73,3.00,7.29,0.92,6.25,7.08,2.93,1.00,5.37,,
September,2.14,3.25,1.66,3.04,1.41,4.70,6.03,3.37,0.08,4.83,,
October,1.36,5.76,1.91,4.19,2.51,2.06,2.18,3.06,2.88,8.22,,
November,9.25,3.01,1.97,5.98,2.48,1.37,2.70,0.93,4.33,5.55,,
December,3.87,2.54,1.45,4.24,4.21,5.08,3.83,4.76,5.31,4.27,,
Total,42.98,33.44,28.05,43.01,32.71,41.86,37.47,45.21,27.17,50.53,,
Calc annual,42.98,33.44,28.05,43.01,32.71,41.86,37.47,45.21,27.17,50.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
