GREENORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ2246610781,Long,-6.131492,Lat,54.031839,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,5,1.11,6.77,3.61,3.49,1.04,0.6,1.73,4.21,3.85,1.99,3.03,2.52,1.62,2.21,2.89,1.06,1.95,2.61,2.23,2.36,1.73,2.13,1.81,4.28,2.88,4.53,2.01,4.03,2.6,2.04,3.73,1.3,2.46,2.26,2.3,1.32,2.73,4.59,1.48,2.79,1.67,2.42,2.43,4.39,4.05,3.31,3.01,2.98,4.69,2.54,4.74,2.42,5.44,2.22,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1,3.54,2.03,2.19,3.68,1.96,5.06,2.22,4.6,3.46,2.79,2.72,0.73,0.51,2.04,1.63,0.17,1.67,3.3,3.6,0.15,1.7,1.86,2.12,2.56,2.92,0.96,3,1.99,4.09,1.49,2.02,1.96,2.15,1.59,3.34,2.89,2.74,1.35,2.37,3.25,2.36,2.52,3.03,1.36,1.76,0.7,2.97,5.55,0.92,3.57,3.04,2.97,4.96,3.91,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1,2.71,3.01,1.24,2.13,3.19,3.21,2.37,1.12,1.95,2.02,3.22,1.24,2.94,2.64,2.64,0.82,0.28,1.7,1.14,2.42,3.34,3.79,1.02,1.06,0.65,2.02,1.66,3.53,2.3,3.21,1.91,2.89,3.39,4.74,1.64,1.27,5,2.9,3.85,0.78,1.86,2.25,1.71,3.04,2.57,2.77,1.44,1.8,1.86,0.8,1.59,2.68,2.69,0.59,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.5,1.87,3.69,2.12,2.53,2.74,1.83,4.63,1.1,1.67,2.87,1.55,0.81,1.27,3.57,1.57,3.59,0.73,1.56,1.57,1.98,1.18,3.33,3.42,3.66,2.09,2.15,2.22,1.48,1.68,2.19,1.32,2.28,2.81,4.58,1.78,2.58,1.32,2.84,1.19,1.9,2.66,1.59,1.14,1.2,2.45,0.86,2.29,3.84,3.57,2.24,1.44,0.86,1.31,1.12,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.5,0.82,3.6,4.86,3.17,0.61,2.73,2.81,1.45,1.81,2.1,5.25,1.51,2.31,3.4,1.77,2.48,3.65,1.06,3.12,0.28,0.23,0.91,2.31,3.62,2.32,1.4,3.25,2.21,2.65,1.43,3.31,4.87,2.04,1.6,2.63,1.87,1.41,3.33,1.83,1.49,4.17,3.67,2.45,2.16,2.7,2.41,1.75,1.32,5.32,5.07,1.81,2.38,1.17,2.06,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.5,1.69,2.06,2.54,5.17,2.7,3.8,3.24,1.7,0.36,1.05,1.54,0.6,4.06,0.11,2.44,3,1.52,2.02,2.77,1.7,3.43,5.2,2.87,1.94,3.85,2.48,3.26,2.47,1.84,2.86,2.05,5.01,2.15,2,3.78,2.45,4.15,2.33,1.17,1.13,2.81,1.42,1.44,1.96,2.13,0.11,1.48,0.9,3.09,0.41,2.59,3.26,3.7,1.71,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.5,1.31,3.07,0.31,4.73,3.47,1.72,3.78,2.82,4.14,1.42,3.49,2.99,5.22,2.53,1.8,1.45,3.28,2.54,2.92,3.27,7.36,1.87,0.65,2.83,4.3,1.26,3.03,4.19,3.08,0.63,2.27,1.55,3.16,3.62,2.91,2.64,2.9,1.87,2.84,3.44,2.38,2.53,3.69,0.45,3.45,3.14,3.06,2.75,4.01,3.45,2.67,2.9,1.84,3.12,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.67,3.45,3.26,2.6,3.45,1.2,3.9,3.57,3.75,1.17,1.7,1.7,2.36,2.46,5.33,2.87,7.07,6.34,4.24,2.16,5.8,1.35,4.81,4.67,2.08,4,3.98,2.36,4.37,4.95,7.04,3.25,3.01,2.15,1.62,4.29,1.91,6.08,0.65,2.97,2.84,2.81,6.51,2.34,2.65,2.5,4.29,3.95,5.35,3.9,3.17,4.29,4.2,3.09,4.67,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,5.06,4.47,1.69,3.16,4.95,3.08,1.85,3.22,4.9,1.64,5.49,2.43,2.99,0.9,1.44,2.72,1.58,2.83,1.21,0.47,0.3,4.3,2.25,4.04,2.85,1.8,2.85,3.33,3.57,3.53,1.04,0.78,1.11,4.61,2.29,0.94,1.04,0.55,4.1,1.14,1.09,1.18,1.92,4.13,2.47,2.39,1.77,2.3,3.27,4.26,3.65,1.98,4.59,2.37,0.8,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.07,4.99,2.95,2.17,1.67,2.04,2.55,3.33,2.16,1.23,3.11,3.97,2.23,1.15,3.82,1.6,3.25,3.4,1.76,7.13,2.66,1.51,1.94,3.33,1.32,4.57,2.81,2.31,3.44,0.72,1.08,3.37,4.34,2.68,4.35,1.53,3.78,2.54,3.73,1.82,4.4,6.85,3.64,2.35,2.33,5.13,3.03,1.41,3.11,3.59,4.13,3.69,3.98,4.5,3.15,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
