TORQUAY-ROCOMBE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX923642,Long,-3.51814,Lat,50.46791,Elevation,400,ft,,,,,,,,,,,,
Station no,RR8540,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.69,5.41,1.1,2.81,1.64,3.64,4.45,,5.58,,,
February,,,,,,,,,2.16,4.94,4.01,4.33,2.08,5.15,4.65,,1.22,,,
March,,,,,,,,,1.55,0.4,2.94,4.03,1.04,1.29,2.93,0.84,3.92,,,
April,,,,,,,,5.73,4.76,4,1.71,0.76,6.2,0.75,2.2,3.2,2.24,,,
May,,,,,,,,3.57,3.75,1.98,0.68,0.68,1.51,2.04,1.36,3.48,4.03,,,
June,,,,,,,,1.11,2.44,6.24,1.98,3.12,3.3,2.7,1.5,1.05,0.77,,,
July,,,,,,,,2.32,1.64,3.09,1.86,1.35,3.06,4.74,2.33,0.23,2.8,,,
August,,,,,,,,3.54,4.66,5.09,0.18,4.24,1.82,0.66,0.7,2.46,1.71,,,
September,,,,,,,,2.6,1.62,2.99,3.06,1.97,3.93,4.57,1.69,3.08,,,,
October,,,,,,,,2.09,2.96,0.61,8.19,3.56,6.27,2.63,0.8,5.46,,,,
November,,,,,,,,6.84,2.36,0.17,3.33,5.32,3.78,4.19,1.41,3.96,,,,
December,,,,,,,,1.61,3.39,1.38,4.21,3.38,3.63,0.57,3.68,1.93,,,,
Total,,,,,,,,,32.98,36.3,33.25,35.55,38.26,32.93,27.7,,,,,
,,,,,,,,,,,,,,,,,,,,
1885 Jan 26-30 and Feb 1-9 Estimated from fall at Babbacombe,,,,,,,,,,,,,,,,,,,,
