SKEGNESS - BURGH SLUICE PUMPING STATION,,,,,,,,
Grid ref,TF552586,Long,0.317,Lat,53.102,Elevation,20,ft
Station no,2560/2,,,,,,,
,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946
January,3.92,1.60,1.43,2.41,3.26,2.07,2.49,1.23
February,0.61,2.65,1.61,0.95,0.44,1.63,1.88,1.51
March,1.71,1.54,2.69,1.00,0.56,0.38,0.79,0.54
April,2.06,1.08,0.74,1.09,1.02,1.73,1.56,0.42
May,0.53,1.56,1.66,2.71,2.31,1.24,0.71,1.31
June,2.30,0.35,0.56,1.36,1.61,2.62,2.06,2.44
July,2.31,2.94,4.59,2.14,0.77,2.39,1.67,3.14
August,1.28,0.74,3.03,1.55,1.16,2.03,1.59,2.81
September,1.60,0.87,1.17,1.85,2.05,3.76,1.37,3.23
October,3.58,2.06,2.95,2.11,1.04,2.47,1.40,2.11
November,3.69,3.79,2.48,2.99,2.43,4.03,0.44,3.46
December,1.99,1.53,0.61,1.62,0.78,1.09,1.73,1.73
Total,25.58,20.71,23.52,21.78,17.43,25.44,17.69,23.93
,,,,,,,,
TYRain_1931-1940_15_pt1/145,,,,,,,,
TYRain_1941-1950_17_pt1/232,,,,,,,,
,,,,,,,,
"# Readings for January 1940, February 1940 and March 1942 are part estimated and have been retained.",,,,,,,,
