GERRARDS-CROSS-FULMER,,,,,,,,,,
Grid ref,TQ003865,Long,-0.554253,Lat,51.568462,Elevation,240,ft,,
Station no,1008/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.5,2.51
February,,,,,,,,,0.11,2.35
March,,,,,,,,,2.3,1.67
April,,,,,,,,,2.64,0.72
May,,,,,,,,,0.83,2.35
June,,,,,,,,,0.69,1.46
July,,,,,,,,,2.73,4.34
August,,,,,,,,,1.14,3.51
September,,,,,,,,,0.06,4.12
October,,,,,,,,,2.19,7.45
November,,,,,,,,,2.22,4.54
December,,,,,,,,,3.61,2.99
Total,,,,,,,,,21.02,38.01
