TREFNANT-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ050705,Long,-3.4243787,Lat,53.223023,Elevation,200,ft.,,,,,,,,,,,,,
Station no,4313/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,2.94,2.09,1.92,2.65,2.58,4.15,1.96,4.01,3.91,
February,,,,,,,,,,,,3.52,0.18,2.1,0.25,2.99,2.6,4.86,0.85,1.55,
March,,,,,,,,,,,,0.46,1.87,1.71,2.27,0.59,2.99,3.02,0.54,2.27,
April,,,,,,,,,,,,2.81,3.68,0.67,2.56,2.99,1.24,3.29,0.82,1.9,
May,,,,,,,,,,,,2.58,2.64,1.39,2.56,1.47,2.1,1.96,2.57,1.75,
June,,,,,,,,,,,1.38,3.47,0.71,1.42,1.1,3.27,5.84,1.73,1.75,1.88,
July,,,,,,,,,,,2.85,1.59,4.28,0.73,1.57,1.13,3.08,1.53,4.96,5.71,
August,,,,,,,,,,,4.14,5.45,2.24,1.3,3.4,1.07,1.45,,4.67,0.95,
September,,,,,,,,,,,2.21,4.02,3.24,1.01,1.74,5.44,3.16,,1.88,1.58,
October,,,,,,,,,,,4.01,0.79,6.05,4.72,3.72,5.83,1.55,2.81,3.7,2.1,
November,,,,,,,,,,,4.31,4.66,2.22,1.52,1.91,4.42,3.57,1.61,2.7,4.79,
December,,,,,,,,,,,4.46,1.66,1.31,0.85,4.07,2.9,4.37,2.9,4.07,1.31,
Total,,,,,,,,,,,,33.95,30.51,19.34,27.8,34.68,36.1,,32.52,29.7,
,,,,,,,,,,,,,,,,,,,,,
"NGR is Trefnant school, with the stated relationship to the church. ",,,,,,,,,,,,,,,,,,,,,
Stated altitude of 300 ft is 100ft too high.,,,,,,,,,,,,,,,,,,,,,
Prior to 1926 the gauge appears to have been 5 or 6 miles away (NE?) based on the relationships described.,,,,,,,,,,,,,,,,,,,,,
Data prior to 1930 removed due to location uncertainty,,,,,,,,,,,,,,,,,,,,,
