LONGTON (HULME),,,,,,,,,,,,
Grid ref,SJ934454,Long,-2.099805,Lat,53.005872,,,,,,,
Station no,2364/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,3.55,1.22,2.08,2.33,4.20,2.45,2.62,2.52,5.20,,
February,2.98,1.07,2.14,3.30,1.68,0.52,3.02,4.36,0.64,2.08,,
March,4.37,1.90,1.56,3.15,2.74,1.80,3.11,1.60,2.47,1.52,,
April,2.65,3.64,2.68,0.66,2.00,1.53,0.32,1.17,3.03,1.69,,
May,2.71,2.18,2.27,2.88,2.98,1.03,1.47,4.16,0.64,1.92,,
June,1.81,2.73,3.24,4.94,3.34,2.78,2.17,6.54,1.47,3.75,,
July,1.74,3.80,4.07,3.95,0.60,5.80,4.90,4.63,1.59,3.52,,
August,5.54,1.83,3.27,5.60,0.96,5.41,5.11,3.81,0.47,5.20,,
September,2.60,2.33,2.74,4.06,3.10,2.83,5.98,5.81,0.16,4.85,,
October,1.00,4.00,2.00,6.31,1.74,1.92,2.96,3.72,2.23,5.77,,
November,8.42,1.90,2.36,5.77,2.10,1.48,1.60,1.92,3.92,4.47,,
December,3.87,3.48,1.43,3.96,3.24,3.76,2.65,3.62,5.37,3.67,,
Total,40.23,32.41,28.98,46.66,26.81,33.06,35.74,43.96,24.51,43.64,,
Calc annual,40.23,32.41,28.98,46.66,26.81,33.06,35.74,43.96,24.51,43.64,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
