HASTINGS-WHITE-ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ8080209500,Long,0.56747063,Lat,50.85675,Elevation,149,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,537/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.25,4.88,5.18,4.27,6.09,3.12,4.45,2.5,4.73,1.64,1.78,,,3.98,1.05,1.18,3.73,2.63,1.12,1.4,4.26,5.26,1.88,3.62,3.41,3.59
February,,,,,4.1,2.18,5.64,1.14,1.8,2.17,2.78,0.6,1.71,1.26,1.78,,,1.74,1.03,3.81,5.56,1.46,1.46,2.43,1.75,1.16,4.71,2.77,0.05,2.24
March,,,,,0.55,1.2,4.49,0.69,2.32,2.65,2.51,3.27,0.36,0.03,0.9,,6.77,0.54,0.98,1.12,2.88,3.01,0.3,3.22,1.47,0.41,1.49,1.19,1.7,2.37
April,,,,,3.48,2.06,2.69,0.83,2.56,1.69,1.07,1.19,1.15,1.72,1.07,,1.95,0.91,1.28,2.11,1.82,0.93,1.78,0.41,0.32,1.4,0.28,1.25,2.04,1.2
May,,,,0.5,1.42,0.07,2.22,2.66,0.98,1.58,1.85,2.38,1.72,0.61,,,1.72,1.36,1.48,1.26,1.46,1.35,1.13,2.21,4.74,0.6,1.33,2.23,0.56,3.18
June,,,,1.96,2.38,3.27,1.61,0.55,1.28,1.11,1.82,0.15,1.32,1.07,,,2.6,1.67,0.52,1.33,0.85,0.87,1.63,2.35,1.9,1.93,0.58,3.88,0.56,1.98
July,,,,1.14,0.49,4.4,1.52,1.48,1.84,2.88,2.93,2.3,1.61,1.8,,,2.92,1.8,1.06,2.1,1.76,0.58,2.33,3.46,0.77,2.1,4.4,2.2,1.31,2.1
August,,,,2.02,5.15,1.42,1.75,1.9,1.93,0,4,,1.35,2.66,,,0.02,3,1.08,3.32,4.06,4.75,2.68,3.18,1.95,2.95,1.62,3.51,0.52,4.28
September,,,,0.99,5.35,2.24,2.76,2.33,0.7,2.49,0.15,2.7,2.01,2.51,,,1.11,2.65,2.11,2.44,3.89,4.04,3.97,3.16,1.9,2.5,3.18,2.66,0.2,2.52
October,,,,2.35,4.09,1.59,3.64,3.6,8.87,3.75,1.13,3.05,1.9,4.27,,,0.19,1.27,7.99,1.15,2.69,2.63,2.8,3.14,4.36,1.64,1.78,3.92,3.43,6.4
November,,,,3.51,6.12,3.94,1.29,3.94,6.21,7.8,3.76,2.46,2.52,4.9,,,1.5,2.15,3.61,5.49,5.47,4.01,1.78,5.03,1.25,0.78,3.24,2.17,5.99,6.62
December,,,,7.71,3.69,2.06,4.41,3.32,1.79,2.68,1.66,3.12,2.27,1.97,,,2.83,2.36,1.81,2.62,2.7,3.43,0.85,1.94,3.95,3.88,1.52,4,7.07,4.88
Total,,,,,38.07,29.31,37.2,26.71,36.37,31.92,28.11,,22.65,24.44,,,,23.43,24,27.93,36.87,29.69,21.83,31.93,28.62,24.61,26.01,33.4,26.84,41.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Dash=zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
