BUXTON TERRACE SLOPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK057736,Long,-1.9159,Lat,53.2599,Elevation,988,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,
January,,,,,,5.25,1.78,7.06,8.55,2.43,1.19,0.57,4.69,6.76,7.35,4.16,6.97,4.19,2.19,2.73,6.91,4.58,5.76,3.7,4.94,5.51,2.08,3.72,1.95,5.79,7.95,4.99,3.7,5.73,5.62,3.7,4.84,1.97,3.02,2.54,4.41,2,5.4,4.24,3.29,8.47,3.75,2.7,3.92,5.03,5.31,7.53,5.16,6.09,4.4,4.79,5.19,,,,,,,
February,,,,,,2.26,6.19,8.76,2.45,4.73,6.78,9.08,4.33,4.73,3.19,4.23,1.07,1.15,2.86,3.56,0.95,0.68,3.31,6.88,6.34,1.03,3.36,4.92,2.98,2.54,5.94,3.97,2.37,4.75,7.28,3.21,4.79,2.83,5.2,2.33,4.61,4.11,1.8,2.12,2.91,5.85,6.57,0.97,5.96,1.53,3.56,0.74,6.58,7.04,1.63,7.57,3.52,,,,,,,
March,,,,,,0.99,6.15,3.92,3.33,2.73,3.85,7.13,3.66,1.83,3.89,3.06,4.13,2.59,3.98,4.35,4.99,3.89,2.29,1.38,4.36,5.74,7.48,6.19,1.25,2.44,1.56,5.59,3.86,6.63,2.91,6.1,4.37,4.18,4.05,4.72,1.36,2.8,6.54,6.38,5.4,2.89,3.3,2.69,2.32,6.49,2.9,4.33,3.07,2.29,1.4,2.28,2.09,,,,,,,
April,,,,,,1.61,4.26,2.43,2.34,3.16,2.15,1.93,5.28,2.54,1.99,2,2.16,1.04,2.62,3.52,1.64,3.41,2.26,0.97,2.47,2.53,2.54,3.94,2.99,5.89,3.23,4.04,3.03,2.59,3.43,4.65,2.24,3.13,3.31,3.01,4.78,3.51,0.98,5.65,1.53,2.12,4.87,3.39,2.15,2.83,8.12,2.07,3.52,3.93,2.68,3.79,2.25,,,,,,,
May,,,,,,3.04,1.33,4.85,6.08,3.46,3.81,4.18,2.37,1.79,3.02,3.06,5.48,3.93,1.47,3.93,3.21,4.97,4.68,3.32,3.36,1.04,0.85,2.76,4.13,3.47,1.84,2.53,4.57,3.21,3.99,0.7,3.96,4.15,4.12,2.64,2.93,1.37,3.16,3.09,3.09,1.62,2.47,2.09,3.19,1.5,5.66,1.81,0.98,4.86,5.29,5.5,4.13,,,,,,,
June,,,,,,4.09,4.47,3.84,4,6.62,3.82,3.09,8.31,4.95,2.07,3.78,1.62,0.55,2.78,0.63,4.68,2.88,4.58,2.89,4.08,1.8,4.51,3.92,2.94,2.5,5.16,3.3,2.02,1.01,1.11,2.3,1.63,8.1,2.33,2.64,2.74,2.88,4.19,3.24,2.45,4.92,3.82,2.19,2.48,2.88,3.21,0.52,2.36,1.93,2.7,0.17,3.52,,,,,,,
July,,,,,,6.19,2.61,5.73,1.74,6.48,7.27,3.6,6.57,4.26,5.09,2.1,4.17,1.44,7.87,4.44,4.78,2.52,4.64,3.51,4.8,7.15,1.94,1.83,1.78,1.98,4.81,2.75,3.95,4.04,3.31,2.68,2.02,4.6,3.89,5.12,5.74,0.35,6.03,1.39,5.07,6.95,2.59,2.06,4.06,3.18,5.54,1.44,5.57,3.63,5.37,2.23,3.2,,,,,,,
August,,,,,,4.32,3.94,6.16,6.44,8.22,2.22,6.86,5.46,3.42,1.72,2.47,3.03,2.51,4.87,6.24,6.05,6.45,5.08,2.76,5.53,4.44,3.83,4.79,6.02,2.38,5.97,2.42,4.23,6.06,4.81,4.65,3.16,4.18,3.97,2.69,5.44,2.75,8.64,2.01,4.56,4.14,3.03,8.77,3.47,4.59,2.41,5.07,5.86,5.26,8.03,4.52,3.95,,,,,,,
September,,,,,,6.98,6.71,3.17,5.19,4.48,5.71,2.35,2.86,7.11,3.8,6.33,2.78,5.18,1.93,4.56,1.41,3.5,4.08,3.83,0.43,0.97,9.46,6.02,1.28,7.07,1.6,2.15,2.14,6.57,2.53,2.59,1.63,0.91,3.38,3.25,0.44,2.94,2.57,1.68,4.14,0.88,2.92,2.39,10.18,4.1,2.95,1.15,4.04,6.01,5.29,5.64,,,,,,,,
October,,,,,,6.66,3.42,6.3,5.94,2.8,5.98,6.04,5.99,6.87,3.93,9.56,5.91,2.56,2.14,4.99,4.28,6.6,7.77,3.14,5.57,4.25,5.89,1.98,4.8,4.59,6.55,5.43,6.25,10.33,1.79,4.78,6.13,5.38,1.12,6.69,3.07,3.45,4.51,4.01,3.18,2.35,6.35,7.45,3.1,3.03,2.19,3.07,1.03,5.63,7.17,6.55,,,,,,,,
