"BROUGHTON (STANHOPE FARM)",,,,,,,,,,,,
Grid ref,NT123296,Long,-3.391709,Lat,55.552181,,,,,,,
Station no,5073/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.02,3.84,2.15,4.14,,
February,,,,,,,3.20,2.86,1.24,4.61,,
March,,,,,,,2.84,1.25,2.44,2.07,,
April,,,,,,,2.01,1.99,4.29,4.74,,
May,,,,,,,2.28,3.70,2.35,2.67,,
June,,,,,,,2.77,2.98,2.70,1.79,,
July,,,,,,,3.96,5.27,4.03,2.43,,
August,,,,,,7.73,5.21,4.27,0.88,4.13,,
September,,,,,,3.39,2.64,4.09,1.04,2.61,,
October,,,,,,3.44,4.31,2.60,5.60,3.64,,
November,,,,,,1.51,2.56,1.14,10.04,7.11,,
December,,,,,,5.67,5.17,5.71,7.05,5.50,,
Total,,,,,,,42.97,39.70,43.81,45.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.74,42.97,39.70,43.81,45.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
