BROUGHTON (STANHOPE FARM) MID GAUGE,,,,,,,,,,
Grid ref,NT155273,Long,-3.340297,Lat,55.532086,Elevation,1250,ft,,
Station no,5073/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.1,6,2.5,4.9
February,,,,,,,5.65,4.7,1.47,7.4
March,,,,,,,3.9,1.95,4.15,3.3
April,,,,,,,2.15,2.6,4.46,6.2
May,,,,,,,3.3,4.6,2.25,2.95
June,,,,,,,3.3,3.95,2.94,2.35
July,,,,,,,5.6,6.1,4.12,3.7
August,,,,,,,6.25,5.3,1.77,5.5
September,,,,,,,3.25,5.45,1.2,3.3
October,,,,,,,4.95,3.65,5.02,5.15
November,,,,,,2.3,3.55,1.55,12.2,10.3
December,,,,,,8.35,6.75,7.6,8.95,6.6
Total,,,,,,,56.75,53.45,51.03,61.65
,,,,,,,,,,
15909,STANHOPE NO 2 ,NT1558827300,01/01/1956,31/12/1970,,,,,,
