BANBRIDGE MILLTOWN (2nd gauge),,,,,,,,,,,,,,,,
Grid ref,NW216062,Long,-6.287768,Lat,54.375807,Elevation,220,ft,,,,,,,,
Station no,6208,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,0.87,2.43,2.97,2.55,2.07,2.59,2.07,2.41,3.54,3.46,1.44,2.81,0.8,4.5,,
February,1.06,2.46,1.89,1.4,2.1,3.64,1.57,2.06,2.37,0.58,1.07,1.65,3,6.2,,
March,1.8,1.6,1.74,1.21,2.58,1.6,0.89,1.08,2.06,1.9,1.15,0.75,2.8,3.4,,
April,2.34,0.55,1.26,3.25,1.82,1.73,0.99,2.29,3.9,0.4,1.39,0.3,1.7,2.6,,
May,1.76,3.99,0.92,2.8,2.11,1.84,1.29,0.67,2.5,1.78,0.62,1.21,0.4,3.1,,
June,2.45,0.53,2.06,0.97,0.52,0.88,0.84,1.65,3.13,1.36,0.96,3.07,1,2,,
July,1.21,1.54,1.89,6.07,0.75,1.34,1.69,3.63,3.3,3.33,2.52,3.65,2.1,4.5,,
August,2,1.98,2.41,1.84,3.56,1.55,1.53,3.21,3.86,3.55,4.26,2.38,2.5,3.1,,
September,2.34,0.33,3.11,1.56,1.31,3.5,2.25,3.45,4.17,2.5,2.61,4.36,3.2,1.8,,
October,2.28,5.53,1.62,3.64,1.56,1.44,6.14,2.01,4.36,2.57,3.2,2.89,4,2.2,,
November,2.4,3.37,2.27,0.76,1.61,2.79,1.59,1.31,3.56,1.62,2.65,2.78,2.9,2.7,,
December,1.74,1.66,2.1,1.25,3.67,2.41,2.24,1.63,4.52,0.54,2.52,1.37,6.2,2,,
Total,22.25,25.97,24.24,27.3,23.66,25.31,23.09,25.4,41.27,23.59,24.39,27.22,30.6,38.1,,
