BANBRIDGE MILLTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW216062,Long,-6.287768,Lat,54.375807,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.57,3.56,3.14,1.38,2.66,3.73,3.73,2.54,3.44,3.01,3.11,4.09,3.96,1.74,3.91,1.09,5.94,3.07,2.28,0.98,0.73,1.85,3.46,3.76,2.2,3.85,2.46,1.79,1.79,3.28,1.08,2.13,2.74,2.9,1.88,1.69,1.77,1.16,2.87,2.02,2.85,1.94,4.3,2.8,1.97,2.58,1.02,2.09,1.87,1.8,0.6,2.61,2.99,1.03,,,,,
February,1.46,1.06,0.83,1.19,2.7,2.12,1.66,2.24,4.06,2.42,2.82,3.52,1.14,1.78,1.79,3.42,2.36,1.98,1.55,2.51,2.76,2.07,3.15,3.37,3.7,2.13,0.99,0.55,2.07,1.37,0.18,1.83,2.53,1.94,0.73,1.33,1.76,2.57,2.46,2.27,1.42,2.46,1.84,2.92,1.34,2.42,1.45,1.67,1.44,3.68,2.13,3.05,0.85,2.61,,,,,
March,2.77,2.72,1.73,2.05,2.24,2.53,2.06,2.9,1.86,1.07,1.43,2.39,2.31,1.34,0.96,2.93,3.6,1.53,2.04,1.79,2.88,2.43,1.46,2.7,1.62,2.56,1.49,3.41,2.26,2.71,1.22,0.62,0.69,1.14,3.12,2.98,4.16,0.91,1.42,0.95,2.15,1.58,3.87,1.71,3.57,1.76,2.87,3.3,3.72,1.38,1.24,2.93,2.43,,,,,,
April,0.6,2.76,1.33,2.09,0.59,1.49,3.83,2.14,2.08,1.11,2.89,4.17,0.46,1.68,0.38,2.09,3.15,1.39,1.71,3.7,1.75,2.69,1.46,1.92,2.01,1.38,2.03,1.69,3.35,1.08,2.5,0.77,1.05,2.39,2.01,1.25,2.42,3.51,2.86,1.66,2.1,2.64,0.88,1.7,2.3,2.28,2.62,2.99,2.77,2.54,1.75,1.61,2.52,,,,,,
May,0.37,3.75,2.55,1.85,4.2,0.95,2.87,2.33,2.09,1.63,0.77,2.65,1.94,0.68,1.47,0.46,3.45,3.76,3.81,0.6,2.58,2.87,1.99,2.14,1.85,5.09,1.49,2.74,3.37,1.5,3.12,3.4,0.92,1.64,0.17,0.32,1.68,3.69,3.55,2.67,1.51,3.46,2.3,2.19,1.31,4.28,3.47,1.55,1.24,1.89,1.84,1.28,3.27,,,,,,
June,3.45,2.76,2.68,2.6,0.5,2.25,1.02,0.67,0.95,0.97,1.76,3.61,1.48,1.12,3.32,1.98,2.36,3.05,3.9,2.93,4.15,3.08,2.1,0.79,0.7,1.44,0.73,4.45,0.31,2.91,3,3.13,1.56,3.51,2.46,2.5,4.54,3.05,2.44,3.18,2.69,2.24,1.23,1.41,2.83,1.02,4.3,2.04,2.03,4.31,2.29,6.24,3.08,,,,,,
July,3.78,3.51,0.82,1.27,1.55,2.01,6.36,0.85,1.49,1.79,4.08,3.31,4.13,2.89,3.87,2.05,4.75,0.4,6.14,4.76,2.94,4.94,4.67,2.9,1.9,3.52,2.72,4.6,3.77,2.06,2.95,2.61,2.72,3.35,4.75,7.4,1.74,0.57,3.51,3.01,1.14,3.59,5.95,2.96,1.93,1.91,3.12,3.94,3.03,3.98,3.44,3.44,1.66,,,,,,
August,4.21,1.83,3.81,2.35,2.68,2.67,1.97,4.05,1.63,1.6,3.4,4.21,4.41,4.41,2.42,2.86,3.43,2.5,3.81,0.89,4.69,3.58,3.85,1.78,1.42,2.42,2.09,2.66,7.65,2.6,5.28,5.5,4.34,2.25,5,1.95,4.03,3.58,1.24,4.8,4.28,2.42,5.08,5.77,5.98,4.09,2.68,2.14,1.89,3.81,1.04,5.75,0.8,,,,,,
September,3.34,1.92,3.01,2.54,0.3,3.44,1.7,1.55,3.94,2.49,3.63,4.37,2.68,2.95,4.65,3.43,2.06,3.27,4.4,3.25,2.21,4.29,3.74,3.03,4.6,2.4,3.02,1.03,1.77,3.22,1.88,2.94,1.75,0.31,0.47,4.54,2.12,4.84,3.38,1.76,3.48,3.71,3.89,3.21,1.34,0.93,0.99,3.26,1.8,1.16,1.42,0.7,4.45,,,,,,
October,2.56,3.62,5.59,2.35,6.02,2.05,4.27,1.82,1.53,7.28,2.34,4.52,2.74,3.62,3.5,4.48,2.7,2.87,1.14,1.19,3.53,2.38,2.62,2.44,3.06,4.14,1.88,1.05,3.21,1.45,3.64,3.04,1.76,4.93,3.49,2.09,2.19,3.24,1.76,3.58,2.59,1.32,4.63,0.66,1.17,5.22,4.09,2.7,5.53,1.42,2.7,1.92,2.93,,,,,,
