BANBRIDGE MILLTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW216062,Long,-6.287768,Lat,54.375807,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.1,2.37,2.21,1.68,2.86,3.76,3.38,4.11,2.82,1.96,3.69,2.1,3.87,2.48,3.77,1.41,4.13,2.07,1.96,1.9,2.37,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.6,3.6,2.8,1.95,3.02,0.79,1.8,0.66,3.2,4.38,1.16,2.81,2.05,1.35,3.23,1.9,1.3,2.1,0.18,2.82,0.13,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.87,0.64,0.84,3.27,1.65,2.22,3.18,2.24,1.83,1.23,0.99,1.04,1.05,2.51,3.31,0.29,1.97,1.23,1.89,1.76,1.82,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.05,2.46,3.76,1.97,1.12,1.25,3.38,0.99,2.96,2.93,2.37,2.47,1.75,1.31,1.05,1.15,1.49,2.94,2.35,0.67,1.89,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.3,1.21,6.1,3.62,2.43,1.72,2.53,2.39,1.37,1.67,3.93,4.09,2.23,1.38,0.97,1.97,1.63,2.67,2.43,2.42,2.22,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.59,2.55,1.77,1.28,1.41,2.27,2.98,0.2,2.15,1.34,2.55,0.79,1.96,4.54,3,2.31,2.13,4.33,1.34,2.93,1.49,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2,5.15,1.85,2.59,3.8,0.31,3.16,4.83,2.98,2.81,3.94,4.85,3.72,4.14,1.54,2.41,2.77,2.74,4.54,2.44,1.98,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.62,3.51,3.05,5.56,2.5,3.34,2.46,3.92,4.28,5.24,5.14,2.03,3.66,4.57,4.05,4.93,6.05,3.03,2.19,1.53,4.55,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.21,0.95,0.98,1.62,4.37,2.27,2.49,0.96,2.47,3.36,5.36,3.02,1.83,4.56,2.42,0.69,3.36,2.07,2.56,1.59,4.45,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.01,1.17,2.93,6.05,3.63,3.03,1.92,5.94,2.47,1.01,2.95,2.7,2.65,2.53,3.2,4.41,2.88,3.99,1.74,2.96,1.9,3.74,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
