"COCKERMOUTH, SHATTON HALL",,,,,,,,,,,,,,,,,,,,
Grid ref,NY147281,Long,-3.323203,Lat,54.640775,Elevation,300,ft,,,,,,,,,,,,
Station no,RR7609,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.72,3.28,2.92,2.48,2.35,3.12,2.6,,,,,
February,,,,,,,,1.65,2.69,3.25,5.86,4.34,1.76,2.22,5.5,,,,,
March,,,,,,,,3.69,3.74,3.38,3.28,1.28,4.88,4.82,4.29,,,,,
April,,,,,,,,2.78,1.29,2.78,2.58,3.73,0.59,4.64,1.23,,,,,
May,,,,,,,,3.92,2.55,1.52,2.74,3.01,1.89,2.39,2.23,,,,,
June,,,,,,,,5.31,2.8,2.65,1.83,5.44,5.63,4.25,1.83,,,,,
July,,,,,,,,1.96,3.99,6.71,4.13,0.9,4.21,0.64,6.27,,,,,
August,,,,,,,,5.22,6.58,3.01,6.31,3.11,5.15,2.8,3.17,,,,,
September,,,,,,,,0.3,4.37,2.76,0.72,2.79,1.72,2.88,2.58,,,,,
October,,,,,,,,8.92,1.34,8.76,2.43,4.65,4.45,4.67,1.4,,,,,
November,,,,,,,,3.71,3.21,2.58,4.08,5.58,4.41,4,5.72,,,,,
December,,,,,,,,6.19,2.98,7.16,4.62,8.47,5.78,3.89,7.09,,,,,
Total,,,,,,,,,40.26,47.84,41.5,45.78,42.82,40.32,43.91,,,,,
