"COCKERMOUTH, SHATTON HALL",,,,,,,,,,,,
Grid ref,NY147281,Long,-3.323203,Lat,54.640775,,,,,,,
Station no,RR7609,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.72,3.28,,
February,,,,,,,,1.65,2.69,3.25,,
March,,,,,,,,3.69,3.74,3.38,,
April,,,,,,,,2.78,1.29,2.78,,
May,,,,,,,,3.92,2.55,1.52,,
June,,,,,,,,5.31,2.80,2.65,,
July,,,,,,,,1.96,3.99,6.71,,
August,,,,,,,,5.22,6.58,3.01,,
September,,,,,,,,0.30,4.37,2.76,,
October,,,,,,,,8.92,1.34,8.76,,
November,,,,,,,,3.71,3.21,2.58,,
December,,,,,,,,6.19,2.98,7.16,,
Total,,,,,,,,,40.26,47.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.65,40.26,47.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
